,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
AZN.L,0.491921005,0.329723225,0.50448833,0.504026326,0.499102334,0.49535469,0.583482944,0.582501938
EZJ.L,0.490125673,0.328915663,0.499102334,0.408495575,0.511669659,0.412337864,0.601436266,0.573312629
AUTO.L,0.464285714,0.317073171,0.543650794,0.533596202,0.452380952,0.387530821,0.575396825,0.572427572
BT-A.L,0.488330341,0.483105567,0.52064632,0.498121994,0.50448833,0.474528302,0.538599641,0.524474061
LLOY.L,0.500897666,0.480256975,0.610412926,0.528638003,0.486535009,0.485804111,0.536804309,0.516922146
GSK.L,0.421903052,0.296717172,0.565529623,0.515492006,0.574506284,0.570765254,0.55475763,0.492564947
AHT.L,0.527827648,0.406306105,0.522441652,0.368513025,0.482944345,0.429140807,0.488330341,0.47809577
IAG.L,0.513464991,0.485435437,0.57989228,0.579880093,0.502692998,0.502378626,0.517055655,0.475948977
MRO.L,0.50448833,0.504473956,0.454219031,0.410926498,0.491921005,0.483287168,0.515260323,0.474572363
AVV.L,0.626570916,0.385209713,0.646319569,0.455030817,0.585278276,0.415811196,0.639138241,0.464640765
BRBY.L,0.547576302,0.526692743,0.472172352,0.369249376,0.49551167,0.488327618,0.531418312,0.463642569
STAN.L,0.560143627,0.459863289,0.454219031,0.425274248,0.468581688,0.460779696,0.463195691,0.463168006
ADM.L,0.531418312,0.523455657,0.486535009,0.485804111,0.464991023,0.414882967,0.545780969,0.454355023
POLY.L,0.506283662,0.393724099,0.526032316,0.390044798,0.561938959,0.48183676,0.491921005,0.441074373
HSBA.L,0.459605027,0.437673781,0.463195691,0.402139537,0.477558348,0.462905711,0.464991023,0.440295387
WTB.L,0.511669659,0.480225058,0.515260323,0.439311918,0.486535009,0.471810345,0.481149013,0.435746709
HIK.L,0.443447038,0.30721393,0.441651706,0.321989252,0.459605027,0.450933194,0.434470377,0.430919228
BARC.L,0.549371634,0.354577057,0.547576302,0.360959353,0.50448833,0.465183268,0.551166966,0.427350638
OCDO.L,0.572710952,0.529387123,0.461400359,0.410956007,0.459605027,0.438494901,0.493716338,0.421330681
SVT.L,0.543985637,0.352325581,0.497307002,0.482891247,0.500897666,0.426173253,0.527827648,0.417958957
RBS.L,0.447037702,0.308933002,0.448833034,0.443204944,0.427289048,0.348222572,0.464991023,0.417527582
BDEV.L,0.500897666,0.460165946,0.522441652,0.464655297,0.508078995,0.498995483,0.549371634,0.405514238
SMIN.L,0.477558348,0.323207776,0.466786355,0.354863995,0.438061041,0.437473582,0.499102334,0.398280836
LSE.L,0.626570916,0.450981879,0.626570916,0.430179028,0.608617594,0.591191284,0.646319569,0.392584515
TSCO.L,0.484739677,0.335452063,0.50448833,0.50123287,0.55475763,0.54198939,0.515260323,0.391744321
SDR.L,0.475763016,0.322384428,0.50448833,0.433642794,0.443447038,0.410859537,0.497307002,0.390686045
EXPN.L,0.538599641,0.445728225,0.396768402,0.392805233,0.488330341,0.466770797,0.640933573,0.39059081
MGGT.L,0.461400359,0.412298472,0.436265709,0.32634117,0.466786355,0.366087406,0.459605027,0.390127499
BKG.L,0.526032316,0.370298047,0.427289048,0.423692806,0.436265709,0.416306234,0.513464991,0.385727599
GLEN.L,0.558348294,0.55827853,0.52962298,0.505509623,0.508078995,0.504551357,0.464991023,0.383043414
HLMA.L,0.587073609,0.548399605,0.535008977,0.494319715,0.500897666,0.476177911,0.614003591,0.380422692
SN.L,0.612208259,0.379732739,0.649910233,0.556153535,0.466786355,0.459193247,0.612208259,0.379732739
SGRO.L,0.608617594,0.378348214,0.556552962,0.385294867,0.547576302,0.504056193,0.608617594,0.378348214
JD.L,0.603231598,0.376259798,0.55475763,0.464190405,0.563734291,0.434843607,0.603231598,0.376259798
SPX.L,0.432675045,0.401563987,0.603231598,0.384591926,0.60502693,0.541735228,0.603231598,0.376259798
SBRY.L,0.502692998,0.38931482,0.461400359,0.400903485,0.55475763,0.541417683,0.493716338,0.372266449
RIO.L,0.490125673,0.328915663,0.526032316,0.475428082,0.490125673,0.328915663,0.506283662,0.371422123
REL.L,0.588868941,0.370621469,0.574506284,0.410181714,0.464991023,0.463730938,0.588868941,0.370621469
PHNX.L,0.493716338,0.488358306,0.452423698,0.44311868,0.425493716,0.4189746,0.52064632,0.370541553
RMV.L,0.615798923,0.441768761,0.574506284,0.383564714,0.621184919,0.5025628,0.587073609,0.369909502
IMB.L,0.405745063,0.369239085,0.439856373,0.427754801,0.400359066,0.392588481,0.423698384,0.367522365
FERG.L,0.574506284,0.368755529,0.574506284,0.364880274,0.572710952,0.396461611,0.574506284,0.364880274
NG.L,0.578096948,0.498419328,0.488330341,0.475231814,0.552962298,0.541518322,0.570915619,0.363428571
SGE.L,0.535008977,0.35543065,0.517055655,0.459330627,0.542190305,0.381361801,0.52962298,0.362800405
SSE.L,0.558348294,0.551465197,0.60502693,0.514054123,0.425493716,0.392932073,0.569120287,0.362700229
SMT.L,0.565529623,0.361238532,0.565529623,0.37947004,0.506283662,0.506124476,0.565529623,0.361238532
RTO.L,0.563734291,0.360505166,0.563734291,0.360505166,0.531418312,0.529665829,0.563734291,0.360505166
RB.L,0.513464991,0.364029341,0.454219031,0.352246297,0.527827648,0.527827648,0.52962298,0.359601545
HL.L,0.533213645,0.446000122,0.560143627,0.405622123,0.558348294,0.418708637,0.560143627,0.359033372
CRDA.L,0.567324955,0.415326251,0.552962298,0.356069364,0.52064632,0.506593943,0.552962298,0.356069364
CCH.L,0.486535009,0.485325666,0.552962298,0.373690984,0.423698384,0.412171026,0.551166966,0.355324074
CPG.L,0.517055655,0.516831396,0.533213645,0.404444664,0.556552962,0.506115269,0.547576302,0.353828306
BA.L,0.513464991,0.476505575,0.535008977,0.534624975,0.454219031,0.449962319,0.545780969,0.353077816
DGE.L,0.447037702,0.445735332,0.540394973,0.36121564,0.547576302,0.547539842,0.536804309,0.349299065
NXT.L,0.531418312,0.347010551,0.506283662,0.363238039,0.49551167,0.337536241,0.531418312,0.347010551
CRH.L,0.526032316,0.344705882,0.490125673,0.489531702,0.448833034,0.447007842,0.526032316,0.344705882
