,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
HSBA.L,0.481149013,0.465938762,0.491921005,0.471301262,0.473967684,0.447459922,0.551166966,0.548721838
BHP.L,0.55475763,0.520441038,0.547576302,0.546170559,0.55475763,0.554641356,0.547576302,0.544603924
BT-A.L,0.517055655,0.508378367,0.486535009,0.453471936,0.52064632,0.518161407,0.524236984,0.524212447
WTB.L,0.533213645,0.509284359,0.499102334,0.49059053,0.502692998,0.494712608,0.531418312,0.513113519
RMV.L,0.587073609,0.451396026,0.486535009,0.384268707,0.472172352,0.44692794,0.558348294,0.512391106
RR.L,0.526032316,0.524153464,0.587073609,0.578152578,0.52064632,0.463350474,0.511669659,0.508461379
HLMA.L,0.55475763,0.505993763,0.531418312,0.483285883,0.531418312,0.49884689,0.648114901,0.505669057
ADM.L,0.531418312,0.524328834,0.488330341,0.483831634,0.536804309,0.533761161,0.540394973,0.502886627
AVV.L,0.626570916,0.385209713,0.572710952,0.517113009,0.587073609,0.477579682,0.637342908,0.498600713
PHNX.L,0.502692998,0.486806699,0.506283662,0.505365337,0.491921005,0.491127145,0.50448833,0.493783093
RB.L,0.560143627,0.546092568,0.473967684,0.417083076,0.545780969,0.520456672,0.551166966,0.488472728
AHT.L,0.509874327,0.362227115,0.513464991,0.476505575,0.518850987,0.4562449,0.488330341,0.483475579
AUTO.L,0.503968254,0.409038891,0.543650794,0.515246809,0.468253968,0.39816069,0.51984127,0.483317801
LLOY.L,0.484739677,0.47028845,0.547576302,0.510654023,0.526032316,0.506431084,0.538599641,0.476383123
RBS.L,0.468581688,0.464088829,0.447037702,0.446093246,0.456014363,0.449189798,0.473967684,0.472635031
CRH.L,0.502692998,0.499849263,0.484739677,0.484413955,0.499102334,0.498170651,0.509874327,0.46209846
SMT.L,0.565529623,0.361238532,0.50448833,0.425086013,0.542190305,0.504297934,0.565529623,0.459179907
LGEN.L,0.506283662,0.348670978,0.511669659,0.511542132,0.432675045,0.431706057,0.531418312,0.458826726
IAG.L,0.549371634,0.516126576,0.545780969,0.545687251,0.477558348,0.477315748,0.499102334,0.458799561
GLEN.L,0.456014363,0.355464409,0.499102334,0.489083228,0.506283662,0.505512243,0.477558348,0.455544919
SVT.L,0.533213645,0.425700327,0.482944345,0.482942678,0.524236984,0.443640338,0.570915619,0.453708681
SMIN.L,0.482944345,0.345838906,0.502692998,0.457967532,0.47037702,0.467900455,0.513464991,0.450912133
