,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
EXPN.L,0.457809695,0.457598153,0.456014363,0.455002535,0.486535009,0.466088857,0.606822262,0.544521737
RR.L,0.524236984,0.524236984,0.543985637,0.536453828,0.509874327,0.46209846,0.535008977,0.532089143
BARC.L,0.549371634,0.354577057,0.536804309,0.423423207,0.497307002,0.480216499,0.52962298,0.527966102
BHP.L,0.583482944,0.560641915,0.522441652,0.521996387,0.518850987,0.518290479,0.538599641,0.523860367
BT-A.L,0.522441652,0.497960152,0.486535009,0.465300341,0.542190305,0.542042696,0.526032316,0.519890296
AZN.L,0.500897666,0.349080239,0.52064632,0.52064632,0.535008977,0.531231621,0.518850987,0.518849437
LLOY.L,0.468581688,0.459294241,0.526032316,0.495512557,0.486535009,0.486056265,0.511669659,0.510342331
AVV.L,0.626570916,0.385209713,0.587073609,0.497655123,0.533213645,0.449688402,0.628366248,0.507422898
AHT.L,0.515260323,0.370647807,0.482944345,0.443092818,0.500897666,0.455396584,0.513464991,0.505657461
MRO.L,0.468581688,0.452659815,0.448833034,0.431959287,0.508078995,0.501287481,0.506283662,0.497893891
GLEN.L,0.457809695,0.356507834,0.491921005,0.484685822,0.49551167,0.493841054,0.500897666,0.497618615
ADM.L,0.509874327,0.504869543,0.493716338,0.490958233,0.527827648,0.526796588,0.561938959,0.496353503
IAG.L,0.533213645,0.517343892,0.533213645,0.5322714,0.490125673,0.489096452,0.506283662,0.494226572
RB.L,0.561938959,0.551494271,0.457809695,0.42289694,0.543985637,0.514621929,0.526032316,0.491577462
WTB.L,0.526032316,0.501734888,0.499102334,0.491064323,0.506283662,0.496408199,0.493716338,0.491472416
PHNX.L,0.509874327,0.496128038,0.491921005,0.491894802,0.481149013,0.480183936,0.493716338,0.482219146
STAN.L,0.490125673,0.443642554,0.447037702,0.43841984,0.506283662,0.478757252,0.473967684,0.472819012
EZJ.L,0.491921005,0.332821197,0.497307002,0.458562462,0.488330341,0.424112925,0.518850987,0.472567697
RMV.L,0.588868941,0.452479986,0.486535009,0.384268707,0.472172352,0.44692794,0.551166966,0.469095041
BNZL.L,0.52962298,0.527758362,0.482944345,0.478572914,0.490125673,0.488924787,0.513464991,0.468505836
HSBA.L,0.466786355,0.451831602,0.500897666,0.480256975,0.457809695,0.426063162,0.50448833,0.467391907
JMAT.L,0.472172352,0.465764955,0.499102334,0.498578688,0.533213645,0.531569414,0.518850987,0.46615455
OCDO.L,0.535008977,0.473778857,0.509874327,0.504869543,0.560143627,0.478840859,0.475763016,0.465549422
LGEN.L,0.513464991,0.364029341,0.518850987,0.518812213,0.436265709,0.435856579,0.536804309,0.462580404
MGGT.L,0.425493716,0.42321632,0.434470377,0.380790039,0.423698384,0.40605515,0.47935368,0.459404284
BA.L,0.508078995,0.390074493,0.508078995,0.507238796,0.522441652,0.513137487,0.574506284,0.458280157
SKG.L,0.493716338,0.447560564,0.47935368,0.450802394,0.49551167,0.478709338,0.473967684,0.455715453
BKG.L,0.536804309,0.378670748,0.511669659,0.504927718,0.490125673,0.396891966,0.502692998,0.448914717
ITV.L,0.506283662,0.496408199,0.477558348,0.4773899,0.522441652,0.517022636,0.477558348,0.448430402
CPG.L,0.533213645,0.533031522,0.518850987,0.493333876,0.561938959,0.548814172,0.55475763,0.443556444
GSK.L,0.421903052,0.296717172,0.454219031,0.438567639,0.574506284,0.566434462,0.561938959,0.443456183
SBRY.L,0.500897666,0.376244723,0.447037702,0.400623288,0.466786355,0.423883404,0.477558348,0.443392112
SDR.L,0.475763016,0.322384428,0.561938959,0.551494271,0.47935368,0.449844691,0.50448833,0.443048431
RBS.L,0.461400359,0.45609718,0.421903052,0.421587977,0.44524237,0.438282665,0.456014363,0.442729641
HIK.L,0.448833034,0.412788242,0.450628366,0.435562709,0.441651706,0.438145651,0.448833034,0.44236244
SVT.L,0.513464991,0.441452142,0.50448833,0.504410058,0.535008977,0.492040633,0.499102334,0.440692606
HLMA.L,0.561938959,0.516355406,0.52962298,0.501182663,0.527827648,0.507184116,0.626570916,0.437373737
BDEV.L,0.482944345,0.438319328,0.509874327,0.498467973,0.570915619,0.517063119,0.488330341,0.437124368
SLA.L,0.461400359,0.389629175,0.44524237,0.420988182,0.481149013,0.441734727,0.443447038,0.433170072
SMIN.L,0.481149013,0.330821066,0.499102334,0.455271045,0.47935368,0.478302716,0.508078995,0.429252057
TSCO.L,0.491921005,0.329723225,0.50448833,0.503488102,0.493716338,0.46950231,0.524236984,0.428474629
IMB.L,0.434470377,0.42641708,0.457809695,0.452471161,0.414721724,0.410876505,0.430879713,0.427306017
CRH.L,0.488330341,0.485937728,0.47935368,0.479271438,0.488330341,0.487213032,0.509874327,0.426844575
ITRK.L,0.511669659,0.33847981,0.493716338,0.372266449,0.524236984,0.481449083,0.52962298,0.425637594
VOD.L,0.429084381,0.4284193,0.484739677,0.482068628,0.450628366,0.447019051,0.436265709,0.425282597
SPX.L,0.556552962,0.455454009,0.603231598,0.441100754,0.538599641,0.51287496,0.608617594,0.424586777
BP.L,0.432675045,0.302005013,0.49551167,0.484885585,0.468581688,0.39435171,0.439856373,0.424495311
NG.L,0.558348294,0.475830885,0.490125673,0.483518349,0.454219031,0.450305155,0.57989228,0.422178678
SGRO.L,0.608617594,0.378348214,0.590664273,0.529379503,0.590664273,0.512528789,0.596050269,0.418134968
FERG.L,0.574506284,0.368755529,0.578096948,0.381558494,0.565529623,0.37947004,0.565529623,0.414346542
RDSA.L,0.436265709,0.30375,0.452423698,0.380318732,0.500897666,0.494838971,0.448833034,0.413891202
LAND.L,0.515260323,0.484046933,0.547576302,0.546510726,0.490125673,0.439764839,0.481149013,0.412826602
INF.L,0.463195691,0.443805459,0.49551167,0.490725044,0.407540395,0.395997634,0.47037702,0.41013767
KGF.L,0.50448833,0.430301503,0.535008977,0.503652172,0.515260323,0.486877661,0.491921005,0.407734014
LSE.L,0.63016158,0.399960256,0.567324955,0.451451292,0.606822262,0.50563132,0.648114901,0.407395345
TUI.L,0.400641026,0.398410031,0.413461538,0.412731555,0.407051282,0.406898961,0.5,0.4062073
CNA.L,0.450628366,0.444394461,0.488330341,0.481911196,0.472172352,0.44692794,0.409335727,0.40595815
POLY.L,0.518850987,0.408029568,0.540394973,0.479150229,0.472172352,0.415817637,0.517055655,0.402372434
