,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
ANTO.L,0.448833034,0.447629477,0.518850987,0.515689888,0.472172352,0.472129816,0.585278276,0.579003681
TSCO.L,0.490125673,0.463085153,0.50448833,0.502047109,0.518850987,0.512208193,0.556552962,0.555728139
SDR.L,0.518850987,0.498198198,0.527827648,0.515169668,0.536804309,0.535869312,0.561938959,0.551494271
EZJ.L,0.499102334,0.489600063,0.484739677,0.476471185,0.50448833,0.497213501,0.547576302,0.547539842
RSA.L,0.52962298,0.527060486,0.508078995,0.504847124,0.522441652,0.522427798,0.55475763,0.544141718
MRW.L,0.508078995,0.489230254,0.52064632,0.505971106,0.508078995,0.500856881,0.538599641,0.538218605
AV.L,0.425493716,0.422947423,0.518850987,0.518290479,0.486535009,0.48345655,0.52962298,0.528161455
IAG.L,0.497307002,0.48589135,0.490125673,0.478546941,0.535008977,0.530597105,0.52962298,0.526532652
DGE.L,0.538599641,0.447670089,0.561938959,0.524131653,0.522441652,0.5034253,0.540394973,0.522784471
JMAT.L,0.509874327,0.494869333,0.509874327,0.506508553,0.526032316,0.524744027,0.522441652,0.520325045
ITRK.L,0.533213645,0.458414361,0.511669659,0.458186708,0.502692998,0.491119518,0.549371634,0.517095951
BKG.L,0.524236984,0.50188138,0.533213645,0.522084059,0.500897666,0.495234183,0.517055655,0.515456383
LGEN.L,0.502692998,0.444701978,0.52064632,0.499688817,0.508078995,0.502872964,0.518850987,0.514454853
BRBY.L,0.456014363,0.417052084,0.497307002,0.479508744,0.522441652,0.521316878,0.515260323,0.514432391
HSBA.L,0.52962298,0.529439457,0.524236984,0.520969841,0.486535009,0.486533354,0.513464991,0.513157428
SGRO.L,0.581687612,0.469660378,0.587073609,0.513185895,0.533213645,0.501253582,0.531418312,0.513113519
OCDO.L,0.536804309,0.519737722,0.543985637,0.543984168,0.508078995,0.458201982,0.531418312,0.511674308
BARC.L,0.52064632,0.516752288,0.545780969,0.537619802,0.506283662,0.502272956,0.511669659,0.511100785
RIO.L,0.482944345,0.482942678,0.477558348,0.474850072,0.524236984,0.523622797,0.517055655,0.510996883
UU.L,0.515260323,0.508567955,0.481149013,0.472332126,0.499102334,0.497645055,0.513464991,0.510409876
BA.L,0.515260323,0.505816246,0.52962298,0.517860447,0.515260323,0.511162107,0.527827648,0.508665131
SN.L,0.515260323,0.445954907,0.531418312,0.494778435,0.477558348,0.444437589,0.535008977,0.507340562
LLOY.L,0.461400359,0.434724365,0.482944345,0.473396712,0.464991023,0.44896157,0.509874327,0.507333573
SGE.L,0.543985637,0.399804853,0.500897666,0.443416437,0.55475763,0.504746881,0.572710952,0.505763839
CCH.L,0.506283662,0.471965114,0.540394973,0.529436612,0.491921005,0.466317946,0.533213645,0.504081856
CPG.L,0.538599641,0.45146284,0.538599641,0.489964905,0.526032316,0.513614353,0.52962298,0.49838448
MRO.L,0.547576302,0.492831334,0.531418312,0.512401517,0.50448833,0.493235759,0.556552962,0.49675732
CNA.L,0.47037702,0.427762977,0.511669659,0.482143834,0.509874327,0.489983196,0.500897666,0.496678022
ABF.L,0.547576302,0.531557869,0.488330341,0.483831634,0.497307002,0.492357368,0.506283662,0.496408199
SLA.L,0.500897666,0.500187213,0.463195691,0.460943898,0.509874327,0.509564494,0.491921005,0.491685074
STJ.L,0.49551167,0.458293099,0.500897666,0.495234183,0.490125673,0.480710647,0.500897666,0.491173764
ADM.L,0.545780969,0.499123864,0.517055655,0.492719178,0.47935368,0.468665298,0.515260323,0.488678091
AHT.L,0.52064632,0.463350474,0.502692998,0.459175912,0.513464991,0.501583276,0.527827648,0.487637848
CRDA.L,0.549371634,0.408261909,0.547576302,0.492831334,0.488330341,0.447160842,0.542190305,0.487469553
BLND.L,0.556552962,0.549436874,0.538599641,0.53514751,0.549371634,0.547264455,0.499102334,0.486869868
RR.L,0.552962298,0.52885285,0.513464991,0.508496872,0.491921005,0.483767754,0.50448833,0.485502008
SMIN.L,0.506283662,0.485480593,0.49551167,0.483191515,0.473967684,0.466929934,0.517055655,0.485472434
GSK.L,0.393177738,0.393019267,0.405745063,0.404239575,0.387791741,0.387720695,0.517055655,0.484488163
HL.L,0.52064632,0.426178653,0.527827648,0.484195701,0.511669659,0.472934235,0.502692998,0.482510423
BT-A.L,0.517055655,0.495159926,0.513464991,0.497260607,0.488330341,0.481044025,0.481149013,0.4810888
AAL.L,0.454219031,0.439919558,0.432675045,0.430676672,0.486535009,0.482193936,0.502692998,0.480146095
REL.L,0.588868941,0.433059982,0.542190305,0.46800382,0.563734291,0.51892134,0.569120287,0.479617577
NXT.L,0.493716338,0.4798323,0.475763016,0.471674333,0.508078995,0.504551357,0.509874327,0.474769699
GLEN.L,0.457809695,0.455660402,0.502692998,0.502532654,0.527827648,0.527089891,0.475763016,0.474704803
SBRY.L,0.486535009,0.485804111,0.473967684,0.473798078,0.482944345,0.482902677,0.477558348,0.473649515
STAN.L,0.47935368,0.471709838,0.47037702,0.467051341,0.475763016,0.473439523,0.475763016,0.473180275
SKG.L,0.506283662,0.454242602,0.486535009,0.462833828,0.49551167,0.489981589,0.508078995,0.472319033
BNZL.L,0.493716338,0.450021008,0.477558348,0.436706991,0.486535009,0.478054311,0.493716338,0.471174047
BDEV.L,0.540394973,0.480592144,0.533213645,0.503156306,0.543985637,0.514621929,0.513464991,0.470890513
RB.L,0.545780969,0.527347065,0.511669659,0.492958501,0.533213645,0.531144781,0.484739677,0.467578576
DCC.L,0.47037702,0.386456221,0.493716338,0.459051962,0.484739677,0.474433285,0.491921005,0.467191033
AUTO.L,0.44047619,0.34315556,0.55952381,0.537492353,0.5,0.481176471,0.472222222,0.466976256
SPX.L,0.585278276,0.412600151,0.538599641,0.463831301,0.513464991,0.491406468,0.545780969,0.465384134
RBS.L,0.441651706,0.441536502,0.427289048,0.426927009,0.423698384,0.423690954,0.464991023,0.462870198
WTB.L,0.522441652,0.521316878,0.484739677,0.480884574,0.50448833,0.503641999,0.459605027,0.459605027
FERG.L,0.533213645,0.446000122,0.574506284,0.507085168,0.511669659,0.467150615,0.569120287,0.459328286
PRU.L,0.500897666,0.476177911,0.472172352,0.460768947,0.509874327,0.499550764,0.466786355,0.459193247
SMDS.L,0.538599641,0.49242443,0.509874327,0.489222553,0.506283662,0.498360892,0.477558348,0.458686918
RTO.L,0.561938959,0.370796296,0.547576302,0.459356608,0.536804309,0.479371359,0.545780969,0.456266664
RDSA.L,0.468581688,0.468566271,0.477558348,0.476883902,0.526032316,0.524915999,0.459605027,0.455894046
HLMA.L,0.569120287,0.45711501,0.574506284,0.494150557,0.560143627,0.511356271,0.542190305,0.455731612
RMV.L,0.533213645,0.396643669,0.526032316,0.455071003,0.52962298,0.49838448,0.558348294,0.452402647
HIK.L,0.466786355,0.449753031,0.49551167,0.47800697,0.502692998,0.502173106,0.466786355,0.448284947
SSE.L,0.49551167,0.495505165,0.536804309,0.531548271,0.502692998,0.501767994,0.527827648,0.444253072
MGGT.L,0.463195691,0.462023497,0.515260323,0.515246261,0.488330341,0.485677906,0.44524237,0.444030972
IHG.L,0.526032316,0.423395445,0.482944345,0.448605841,0.502692998,0.486806699,0.502692998,0.44325124
AVV.L,0.560143627,0.520585001,0.551166966,0.492765765,0.560143627,0.547249123,0.450628366,0.441554612
CRH.L,0.491921005,0.444971039,0.491921005,0.474999084,0.522441652,0.514554009,0.497307002,0.439412238
EVR.L,0.466786355,0.413424342,0.482944345,0.440747455,0.468581688,0.447420635,0.457809695,0.439376366
AZN.L,0.439856373,0.429513105,0.500897666,0.495615635,0.475763016,0.475382551,0.443447038,0.439106312
PSON.L,0.443447038,0.442496448,0.472172352,0.470737667,0.50448833,0.504358928,0.438061041,0.438061041
TUI.L,0.400641026,0.400634868,0.375,0.37494221,0.391025641,0.391000616,0.477564103,0.43777569
LSE.L,0.464991023,0.440295387,0.542190305,0.493934049,0.49551167,0.471806294,0.466786355,0.435058482
INF.L,0.482944345,0.412395604,0.515260323,0.467382065,0.466786355,0.439916713,0.473967684,0.434007873
CCL.L,0.486535009,0.392644726,0.543985637,0.516413727,0.493716338,0.465021389,0.493716338,0.433943089
TW.L,0.535008977,0.51076226,0.49551167,0.467384683,0.522441652,0.511596783,0.517055655,0.431574435
ULVR.L,0.452423698,0.419841202,0.484739677,0.4738867,0.506283662,0.501942805,0.456014363,0.425685264
MNDI.L,0.486535009,0.350381692,0.468581688,0.39607326,0.49551167,0.494043944,0.497307002,0.423753362
BATS.L,0.499102334,0.469297362,0.473967684,0.43740283,0.477558348,0.470568637,0.457809695,0.421801958
EXPN.L,0.626570916,0.418860353,0.578096948,0.46732836,0.542190305,0.484732617,0.592459605,0.419559938
LAND.L,0.55475763,0.554238951,0.506283662,0.501242214,0.508078995,0.507887066,0.500897666,0.419112572
BHP.L,0.561938959,0.56153052,0.522441652,0.521996387,0.533213645,0.533091744,0.513464991,0.415534432
PSN.L,0.511669659,0.389707067,0.515260323,0.464819507,0.488330341,0.470576465,0.452423698,0.414361308
JE.L,0.514893617,0.399542765,0.493617021,0.444311972,0.508510638,0.482692079,0.49787234,0.413791646
WPP.L,0.464991023,0.458920096,0.436265709,0.434733426,0.473967684,0.472000336,0.443447038,0.408712982
KGF.L,0.590664273,0.584654631,0.587073609,0.586688605,0.621184919,0.618583534,0.612208259,0.408563571
IMB.L,0.450628366,0.432707157,0.47935368,0.476232166,0.472172352,0.469832945,0.421903052,0.402248973
BP.L,0.441651706,0.44147168,0.522441652,0.519017011,0.502692998,0.501433118,0.398563734,0.39544596
JD.L,0.597845601,0.378298653,0.592459605,0.419559938,0.50448833,0.462896193,0.590664273,0.390871417
NG.L,0.517055655,0.509748875,0.472172352,0.463454431,0.500897666,0.493119206,0.567324955,0.387171586
FLTR.L,0.464991023,0.406395731,0.477558348,0.447460192,0.477558348,0.4773899,0.450628366,0.379145297
SMT.L,0.565529623,0.361238532,0.535008977,0.435354393,0.569120287,0.424804654,0.565529623,0.361238532
SVT.L,0.538599641,0.506527397,0.515260323,0.508143642,0.535008977,0.513159538,0.547576302,0.353828306
POLY.L,0.531418312,0.506984363,0.513464991,0.495890567,0.493716338,0.490958233,0.527827648,0.33767946
VOD.L,0.493716338,0.486283359,0.511669659,0.511630306,0.515260323,0.514695632,0.497307002,0.332304667
NMC.L,0.493716338,0.336703152,0.490125673,0.459297238,0.50448833,0.468467347,0.490125673,0.328915663
PHNX.L,0.52962298,0.463919419,0.531418312,0.488118167,0.491921005,0.483767754,0.518850987,0.321741396
ITV.L,0.511669659,0.50720791,0.508078995,0.501704323,0.506283662,0.50008975,0.452423698,0.311495674
ALL,0.508066135,0.459779553,0.508765516,0.483199434,0.504974567,0.490948687,0.508506684,0.462245161
