,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
KGF.L,0.552962298,0.551481931,0.518850987,0.514454853,0.545780969,0.544459494,0.561938959,0.56182456
EZJ.L,0.502692998,0.493757649,0.508078995,0.502872964,0.499102334,0.496760091,0.552962298,0.552263813
BHP.L,0.552962298,0.551481931,0.547576302,0.546170559,0.55475763,0.554641356,0.551166966,0.550400362
IAG.L,0.490125673,0.469039499,0.511669659,0.499458174,0.456014363,0.443354563,0.551166966,0.547066094
ANTO.L,0.443447038,0.437131643,0.484739677,0.482812616,0.466786355,0.46543551,0.545780969,0.544459494
ITV.L,0.490125673,0.485814957,0.47037702,0.468836169,0.502692998,0.50259039,0.542190305,0.541338767
SVT.L,0.540394973,0.508926603,0.540394973,0.519931049,0.524236984,0.499428568,0.588868941,0.540926906
SN.L,0.515260323,0.455156073,0.545780969,0.490142659,0.508078995,0.481990605,0.551166966,0.535275664
NG.L,0.531418312,0.522529091,0.490125673,0.483936215,0.475763016,0.464437186,0.563734291,0.534314586
JMAT.L,0.515260323,0.497399941,0.500897666,0.497905318,0.513464991,0.510409876,0.538599641,0.526787987
NXT.L,0.506283662,0.456874391,0.500897666,0.487210565,0.50448833,0.498067128,0.531418312,0.522999085
ABF.L,0.52962298,0.512968896,0.52064632,0.5150188,0.50448833,0.49676583,0.527827648,0.519343905
AHT.L,0.531418312,0.463642569,0.50448833,0.465183268,0.502692998,0.480146095,0.551166966,0.518539264
BKG.L,0.511669659,0.481193327,0.524236984,0.49682801,0.515260323,0.506788666,0.531418312,0.516449633
RR.L,0.500897666,0.476177911,0.513464991,0.508496872,0.52064632,0.517905247,0.524236984,0.516152295
MRW.L,0.497307002,0.447655475,0.499102334,0.486279566,0.472172352,0.460185918,0.515260323,0.51499613
LGEN.L,0.466786355,0.384182137,0.513464991,0.482620573,0.491921005,0.464519504,0.560143627,0.513779773
TSCO.L,0.488330341,0.475834811,0.506283662,0.503975,0.517055655,0.506883353,0.511669659,0.511668085
