,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
BHP.L,0.583482944,0.560641915,0.522441652,0.521996387,0.518850987,0.518290479,0.569120287,0.560725552
BT-A.L,0.522441652,0.497960152,0.486535009,0.465300341,0.542190305,0.542042696,0.547576302,0.547399783
HSBA.L,0.466786355,0.451831602,0.500897666,0.480256975,0.457809695,0.426063162,0.538599641,0.535431129
RR.L,0.524236984,0.524236984,0.543985637,0.536453828,0.509874327,0.46209846,0.526032316,0.526030788
LLOY.L,0.468581688,0.459294241,0.526032316,0.495512557,0.486535009,0.486056265,0.531418312,0.52514919
AUTO.L,0.492063492,0.387792287,0.595238095,0.57865058,0.515873016,0.461613897,0.547619048,0.520432692
AVV.L,0.626570916,0.385209713,0.587073609,0.497655123,0.533213645,0.449688402,0.624775583,0.518168084
ADM.L,0.509874327,0.504869543,0.493716338,0.490958233,0.527827648,0.526796588,0.545780969,0.517877609
EXPN.L,0.457809695,0.457598153,0.456014363,0.455002535,0.486535009,0.466088857,0.60502693,0.514054123
RB.L,0.561938959,0.551494271,0.457809695,0.42289694,0.543985637,0.514621929,0.542190305,0.505354438
CRH.L,0.488330341,0.485937728,0.47935368,0.479271438,0.488330341,0.487213032,0.52064632,0.498121994
HLMA.L,0.561938959,0.516355406,0.52962298,0.501182663,0.527827648,0.507184116,0.644524237,0.497896635
MRO.L,0.468581688,0.452659815,0.448833034,0.431959287,0.508078995,0.501287481,0.502692998,0.49685471
AZN.L,0.500897666,0.349080239,0.52064632,0.52064632,0.535008977,0.531231621,0.509874327,0.494217433
BARC.L,0.549371634,0.354577057,0.536804309,0.423423207,0.497307002,0.480216499,0.561938959,0.488544677
OCDO.L,0.535008977,0.473778857,0.509874327,0.504869543,0.560143627,0.478840859,0.497307002,0.486987185
TSCO.L,0.491921005,0.329723225,0.50448833,0.503488102,0.493716338,0.46950231,0.551166966,0.483968753
AHT.L,0.515260323,0.370647807,0.482944345,0.443092818,0.500897666,0.455396584,0.481149013,0.481142323
SGE.L,0.52064632,0.373416362,0.52962298,0.496432022,0.547576302,0.404530799,0.531418312,0.475410014
RMV.L,0.588868941,0.452479986,0.486535009,0.384268707,0.472172352,0.44692794,0.567324955,0.474596173
BA.L,0.508078995,0.390074493,0.508078995,0.507238796,0.522441652,0.513137487,0.572710952,0.470210691
DGE.L,0.47935368,0.474596669,0.542190305,0.464635043,0.517055655,0.495159926,0.576301616,0.463951326
