,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
RDSA.L,0.493716338,0.49324429,0.47037702,0.46815535,0.506283662,0.501242214,0.574506284,0.560334922
BA.L,0.52962298,0.513631152,0.587073609,0.537107964,0.518850987,0.516480527,0.596050269,0.526097265
ANTO.L,0.427289048,0.411935833,0.531418312,0.515159499,0.448833034,0.445372073,0.543985637,0.524411725
SPX.L,0.624775583,0.522280813,0.599640934,0.429787957,0.63016158,0.493922233,0.639138241,0.499774365
ULVR.L,0.447037702,0.411431316,0.506283662,0.461881124,0.473967684,0.468976647,0.500897666,0.495615635
LLOY.L,0.47037702,0.411633062,0.508078995,0.490662128,0.427289048,0.419133488,0.490125673,0.48999252
SN.L,0.621184919,0.444718478,0.594254937,0.500801053,0.587073609,0.475389025,0.588868941,0.489242511
UU.L,0.522441652,0.509929613,0.522441652,0.48122549,0.511669659,0.505741727,0.527827648,0.488746497
ADM.L,0.484739677,0.458774736,0.500897666,0.444837229,0.497307002,0.474924585,0.515260323,0.4859516
HSBA.L,0.457809695,0.430014909,0.439856373,0.390163106,0.499102334,0.49868868,0.499102334,0.485053929
CCH.L,0.490125673,0.476143167,0.508078995,0.451424833,0.491921005,0.480096836,0.536804309,0.48345842
HL.L,0.578096948,0.509729011,0.533213645,0.425700327,0.522441652,0.495374785,0.542190305,0.478986695
OCDO.L,0.533213645,0.456723988,0.549371634,0.548667538,0.535008977,0.504599852,0.513464991,0.476505575
STAN.L,0.549371634,0.542954563,0.502692998,0.49685471,0.491921005,0.490811537,0.500897666,0.474428424
BT-A.L,0.538599641,0.531618814,0.493716338,0.457991718,0.457809695,0.451657278,0.47935368,0.473033459
ABF.L,0.524236984,0.481449083,0.468581688,0.39607326,0.439856373,0.423073859,0.527827648,0.471390167
TUI.L,0.5,0.499671053,0.387820513,0.386402249,0.551282051,0.551263612,0.503205128,0.467301147
LSE.L,0.590664273,0.498293354,0.631956912,0.478714419,0.482944345,0.467452793,0.631956912,0.463680984
RBS.L,0.439856373,0.431632653,0.412926391,0.411218397,0.509874327,0.509817448,0.524236984,0.46306906
BDEV.L,0.576301616,0.466163093,0.565529623,0.489463079,0.560143627,0.548351972,0.563734291,0.460135693
LGEN.L,0.502692998,0.382184173,0.515260323,0.428522572,0.506283662,0.439709567,0.49551167,0.458293099
SBRY.L,0.535008977,0.532089143,0.517055655,0.500298488,0.515260323,0.512354086,0.518850987,0.4562449
EZJ.L,0.524236984,0.513697389,0.50448833,0.473563817,0.536804309,0.532572209,0.459605027,0.454477716
BHP.L,0.558348294,0.537225419,0.50448833,0.503641999,0.508078995,0.507887066,0.513464991,0.449397955
SVT.L,0.506283662,0.447271087,0.490125673,0.468239882,0.508078995,0.452825183,0.500897666,0.448962307
SLA.L,0.456014363,0.44728491,0.450628366,0.420501836,0.482944345,0.482342007,0.456014363,0.448267858
GLEN.L,0.517055655,0.460739466,0.513464991,0.495182484,0.493716338,0.486726531,0.497307002,0.447655475
SDR.L,0.486535009,0.459304062,0.497307002,0.437957677,0.49551167,0.481362559,0.484739677,0.44444985
IAG.L,0.511669659,0.498875394,0.47935368,0.452663323,0.473967684,0.471240795,0.450628366,0.443509207
NG.L,0.543985637,0.527183648,0.500897666,0.457822129,0.50448833,0.495828414,0.484739677,0.442092185
RB.L,0.515260323,0.468631635,0.518850987,0.463437428,0.484739677,0.462212324,0.499102334,0.439231394
AHT.L,0.517055655,0.392761758,0.500897666,0.411589907,0.499102334,0.472088133,0.490125673,0.437069407
BLND.L,0.526032316,0.464360648,0.515260323,0.449120879,0.52962298,0.47408897,0.509874327,0.435651061
TSCO.L,0.526032316,0.520278735,0.536804309,0.489839823,0.49551167,0.49262687,0.506283662,0.434872438
EXPN.L,0.615798923,0.406053177,0.608617594,0.394951367,0.590664273,0.424961965,0.608617594,0.43461782
RIO.L,0.50448833,0.486231051,0.502692998,0.501607052,0.502692998,0.498320571,0.450628366,0.432707157
HIK.L,0.535008977,0.528787894,0.488330341,0.46073519,0.527827648,0.527529164,0.513464991,0.431043516
CRH.L,0.535008977,0.495430428,0.518850987,0.360757109,0.552962298,0.511652964,0.515260323,0.428522572
RR.L,0.511669659,0.449636734,0.524236984,0.491166382,0.50448833,0.498473223,0.439856373,0.428357148
AAL.L,0.429084381,0.42908254,0.466786355,0.451831602,0.500897666,0.495615635,0.491921005,0.425017053
CRDA.L,0.552962298,0.366828734,0.569120287,0.424804654,0.55475763,0.384420677,0.567324955,0.423788981
JD.L,0.599640934,0.398683223,0.592459605,0.384044662,0.561938959,0.412386289,0.592459605,0.422771577
BNZL.L,0.518850987,0.436439142,0.518850987,0.434612005,0.527827648,0.480574417,0.497307002,0.422045003
SMIN.L,0.49551167,0.352178142,0.509874327,0.411221033,0.499102334,0.389506311,0.533213645,0.418953619
REL.L,0.57989228,0.409829385,0.599640934,0.471831375,0.578096948,0.448512528,0.578096948,0.418205658
SGRO.L,0.612208259,0.422930816,0.608617594,0.417587583,0.612208259,0.422930816,0.597845601,0.415683189
NXT.L,0.517055655,0.515650608,0.500897666,0.468759435,0.486535009,0.484499586,0.497307002,0.414933525
BARC.L,0.531418312,0.519975037,0.50448833,0.492097264,0.484739677,0.483934596,0.438061041,0.409743876
MGGT.L,0.439856373,0.427754801,0.617594255,0.570752515,0.454219031,0.441824895,0.461400359,0.409590706
PSN.L,0.493716338,0.364710736,0.50448833,0.428590544,0.441651706,0.413515481,0.502692998,0.402594235
ITRK.L,0.517055655,0.429696451,0.517055655,0.400027229,0.517055655,0.445574267,0.538599641,0.396883914
STJ.L,0.497307002,0.433449579,0.536804309,0.460903034,0.499102334,0.444935762,0.481149013,0.393253048
LAND.L,0.502692998,0.463806998,0.493716338,0.419637315,0.50448833,0.467391907,0.490125673,0.390703479
JMAT.L,0.502692998,0.472142679,0.481149013,0.452221258,0.464991023,0.451612264,0.509874327,0.383732193
HLMA.L,0.592459605,0.384044662,0.614003591,0.495447632,0.633752244,0.520168238,0.614003591,0.380422692
IHG.L,0.515260323,0.361997285,0.490125673,0.388574521,0.50448833,0.401560213,0.511669659,0.374281372
BP.L,0.432675045,0.430676672,0.450628366,0.450584094,0.475763016,0.475152313,0.409335727,0.370707921
RMV.L,0.587073609,0.369909502,0.587073609,0.369909502,0.587073609,0.369909502,0.587073609,0.369909502
MNDI.L,0.44524237,0.429683384,0.475763016,0.371351268,0.430879713,0.427306017,0.472172352,0.367045455
SMT.L,0.565529623,0.361238532,0.565529623,0.361238532,0.565529623,0.361238532,0.565529623,0.361238532
RTO.L,0.551166966,0.419849682,0.545780969,0.406270934,0.549371634,0.440174106,0.563734291,0.360505166
AZN.L,0.490125673,0.446120448,0.508078995,0.498995483,0.491921005,0.487793624,0.533213645,0.356387403
