Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,765.5,785.5,760.5,783.5,707.3947143554688,2448870.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,780.5,782.5,769.5,776.5,701.0746459960938,1086984.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,776.0,792.5,772.5,790.0,713.2633056640625,1704991.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,790.0,807.5,790.0,804.0,725.9034423828125,1812159.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,805.0,811.5,789.0,790.0,713.2633056640625,1172443.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-09,792.5,798.0,784.5,790.5,713.7147216796875,1485594.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-10,796.0,814.5,796.0,812.0,733.1263427734375,1505651.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-13,812.0,814.0430297851562,802.5,803.5,725.451904296875,876031.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-14,794.5,803.0,781.0,802.5,724.549072265625,2063205.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-15,805.5,813.0,803.0,811.5,734.73486328125,950857.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-16,813.0,813.5,803.0,809.0,732.471435546875,1118092.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-17,811.5,812.5,797.0,807.0,730.6605224609375,1498495.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-01-20,809.0,810.0,801.5,804.5,728.3970947265625,589324.0,3.0,2.0,0.0,0.0,0.0,,,,
2014-01-21,806.5,810.0,802.5,807.0,730.6605224609375,1400671.0,3.0,2.0,0.0,0.0,0.0,,,,
2014-01-22,807.0,817.0,806.5499877929688,814.0,736.9984130859375,968963.0,3.0,2.0,0.0,0.0,0.0,,,,
2014-01-23,816.0,816.0,794.4099731445312,799.0,723.4172973632812,3386137.0,4.0,2.0,0.0,0.0,0.0,,,,
2014-01-24,801.0,808.0,769.489990234375,770.0,697.16064453125,1610842.0,4.0,2.0,1.0,0.0,0.0,,,,
2014-01-27,771.0,773.5,753.5,760.0,688.106689453125,1319677.0,4.0,2.0,1.0,0.0,0.0,,,,
2014-01-28,764.0,777.0,759.5,773.0,699.8768920898438,1227253.0,4.0,2.0,1.0,0.0,0.0,,,,
2014-01-29,781.0,789.5,772.0,776.5,703.0457763671875,1729512.0,4.0,2.0,1.0,0.0,0.0,,,,
2014-01-30,782.5,797.5,772.0,795.0,719.7957153320312,1416884.0,4.0,2.0,1.0,0.0,0.0,,,,
2014-01-31,794.0,795.0,775.5,789.5,714.8158569335938,1225036.0,5.0,2.0,1.0,0.0,0.0,,,,
2014-02-03,789.0,799.0,783.0,786.0,711.647216796875,1141575.0,5.0,2.0,1.0,0.0,0.0,,,,
2014-02-04,780.5,795.5,761.8159790039062,790.5,715.7213745117188,1983442.0,5.0,2.0,1.0,0.0,0.0,,,,
2014-02-05,789.0,798.0,783.5,789.0,714.36328125,913887.0,5.0,2.0,1.0,0.0,0.0,,,,
2014-02-06,792.5,800.0,788.5,797.5,722.0592041015625,2017226.0,6.0,2.0,1.0,0.0,0.0,,,,
2014-02-07,800.0,816.5,797.0,813.0,736.093017578125,2224090.0,6.0,2.0,1.0,0.0,0.0,,,,
2014-02-10,814.0,819.0,806.5,808.5,732.0186767578125,766736.0,6.0,2.0,1.0,0.0,0.0,,,,
2014-02-11,812.5,816.0,808.5,815.5,738.3565063476562,799597.0,6.0,2.0,1.0,0.0,0.0,,,,
2014-02-12,818.5,836.0,814.7999877929688,828.0,749.674072265625,1346446.0,6.0,2.0,1.0,0.0,0.0,,,,
2014-02-13,827.5,832.0,817.0,830.0,751.4849243164062,1039317.0,6.0,2.0,1.0,0.0,0.0,,,,
2014-02-14,829.0,834.5,827.0,832.0,753.295654296875,1018398.0,6.0,2.0,1.0,0.0,0.0,,,,
2014-02-17,831.0,843.5,830.5,840.0,760.5389404296875,654496.0,7.0,2.0,1.0,0.0,0.0,,,,
2014-02-18,843.0,845.5,832.0,843.5,763.7078247070312,3200589.0,7.0,3.0,1.0,0.0,0.0,,,,
2014-02-19,843.5,852.5,839.8699951171875,844.5,764.6132202148438,900547.0,7.0,3.0,1.0,0.0,0.0,,,,
2014-02-20,837.0,852.5,834.9180297851562,851.0,770.498291015625,1096214.0,7.0,3.0,1.0,0.0,0.0,,,,
2014-02-21,855.0,860.0,842.0,850.0,769.5927734375,1269047.0,7.0,3.0,1.0,0.0,0.0,,,,
2014-02-24,848.0,868.0,843.0,868.0,785.8900756835938,962161.0,7.0,3.0,1.0,0.0,0.0,,,,
2014-02-25,866.5,869.5,856.5,868.0,785.8900756835938,2346352.0,7.0,3.0,1.0,0.0,0.0,,,,
2014-02-26,868.0,875.0679931640625,859.0,862.0,780.4578247070312,1582687.0,8.0,3.0,1.0,0.0,0.0,,,,
2014-02-27,861.5,871.0,845.3150024414062,870.5,788.1536865234375,1404065.0,8.0,3.0,1.0,0.0,0.0,,,,
2014-02-28,872.0,879.0,861.5,876.0,793.1333618164062,1359636.0,8.0,3.0,1.0,0.0,0.0,,,,
2014-03-03,862.5,863.5,844.5,846.0,765.9713134765625,2260926.0,8.0,3.0,1.0,0.0,0.0,,,,
2014-03-04,893.5,957.5,890.0,956.0,865.565673828125,4964739.0,10.0,3.0,1.0,0.0,0.0,,,,
2014-03-05,958.5,958.5,928.0,937.5,848.8157348632812,1840203.0,10.0,4.0,1.0,0.0,0.0,,,,
2014-03-06,949.5,952.5,938.5,943.0,853.7954711914062,1994135.0,10.0,4.0,1.0,0.0,0.0,,,,
2014-03-07,936.5,957.5,933.5,939.0,850.1737060546875,1334780.0,10.0,4.0,1.0,0.0,0.0,,,,
2014-03-10,939.0,955.5,932.0,936.0,847.4576416015625,1535983.0,10.0,4.0,1.0,0.0,0.0,,,,
2014-03-11,936.0,952.0,935.0,941.5,852.4374389648438,1127647.0,10.0,4.0,1.0,0.0,0.0,,,,
2014-03-12,937.0,948.0,932.5,945.5,856.0590209960938,1241647.0,11.0,4.0,1.0,0.0,0.0,,,,
2014-03-13,947.0,949.5,903.5,903.5,818.0320434570312,1443148.0,11.0,4.0,1.0,0.0,0.0,,,,
2014-03-14,898.0,902.5,886.0,900.0,814.8630981445312,1708754.0,11.0,4.0,1.0,0.0,0.0,,,,
2014-03-17,902.5,924.5,902.0,922.5,835.2346801757812,1127883.0,11.0,4.0,1.0,0.0,0.0,,,,
2014-03-18,922.0,941.0,919.5,940.5,851.531982421875,1192464.0,12.0,5.0,1.0,0.0,0.0,,,,
2014-03-19,944.5,956.0,934.5,949.5,859.6805419921875,1821699.0,12.0,5.0,1.0,0.0,0.0,,,,
2014-03-20,942.0,947.5,928.0,941.0,851.9846801757812,1662620.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-03-21,938.0,942.4000244140624,923.9080200195312,924.0,836.5928344726562,4848706.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-03-24,922.5,934.0,922.0,927.5,839.7616577148438,1537068.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-03-25,928.5,953.7999877929688,928.5,953.5,863.3020629882812,1065667.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-03-26,958.0,962.0,952.5,960.0,869.1873168945312,1012103.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-03-27,957.0,965.0,952.5,956.5,866.0183715820312,1386480.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-03-28,961.0,964.2999877929688,951.0,951.0,861.0386962890625,1731676.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-03-31,957.0,964.5,948.760986328125,951.0,861.0386962890625,852884.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-01,958.5,976.5,951.0,975.5,883.2210693359375,1743426.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-02,980.0,991.5,973.5,982.0,889.1061401367188,1382924.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-03,986.0,989.5,977.0,979.0,886.3899536132812,903821.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-04,982.0,991.0,980.5,983.0,890.0115966796875,1518923.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-07,973.0,974.4199829101562,949.0,952.5,862.3968505859375,1807500.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-08,951.5,951.5,871.25,901.0,815.7685546875,4636189.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-09,908.0,930.5,902.0999755859376,920.0,832.97119140625,2279193.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-10,931.0,942.0,915.5,923.5,836.14013671875,1821051.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-11,913.0,913.0,866.5,880.0,796.7549438476562,2598550.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-14,873.5,877.0499877929688,813.0,842.0,762.3496704101562,4535735.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-15,846.5,860.0,819.5,845.5,765.5186767578125,2739650.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-16,856.5,889.0,850.0,888.0,803.9982299804688,2950568.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-17,896.0,912.2000122070312,890.0,907.5,821.6536254882812,2127579.0,14.0,5.0,1.0,0.0,0.0,,,,
2014-04-22,913.5,920.5,897.5,900.5,815.3158569335938,1768229.0,15.0,5.0,1.0,0.0,0.0,,,,
2014-04-23,900.0,905.0,871.6799926757812,877.0,794.0388793945312,2369343.0,15.0,5.0,1.0,0.0,0.0,,,,
2014-04-24,886.5,898.0,844.0,848.5,768.2347412109375,2164685.0,15.0,5.0,1.0,0.0,0.0,,,,
2014-04-25,843.5,866.5,826.0,863.0,781.3632202148438,3256075.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-04-28,874.0,875.5,844.0,850.0,769.5927734375,1364966.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-04-29,854.5,869.5900268554688,846.0,867.5,785.4373779296875,1813652.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-04-30,868.0,878.5,855.0,874.5,791.7752685546875,1216195.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-05-01,878.5,881.5,863.5,872.5,789.9646606445312,691238.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-05-02,873.5,879.0999755859375,867.0,873.0,790.4171142578125,891863.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-05-06,872.0,893.0,872.0,878.5,795.3968505859375,1303453.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-05-07,874.0,877.5,856.0,859.5,778.1942749023438,1299914.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-05-08,860.5,860.5,842.5,857.0,775.9306640625,1627839.0,16.0,5.0,1.0,0.0,0.0,,,,
2014-05-09,855.0,860.5,848.0,854.0,773.214599609375,2022866.0,17.0,5.0,1.0,0.0,0.0,,,,
2014-05-12,856.0,867.0,852.719970703125,866.0,784.0795288085938,1453078.0,17.0,5.0,1.0,0.0,0.0,,,,
