Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,273.0,274.6510009765625,268.35000610351557,271.04998779296875,222.787841796875,30563664.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,271.25,273.91000366210943,270.39999389648443,272.85000610351557,224.26742553710938,23678963.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,271.54998779296875,278.6669921875,271.20001220703125,277.5,228.0894012451172,47008835.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,276.95001220703125,282.77801513671875,275.0,280.95001220703125,230.9251708984375,44374624.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,282.3500061035156,285.8999938964844,281.25,283.70001220703125,233.1854553222656,45068534.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,283.8999938964844,289.71099853515625,282.4779968261719,284.3999938964844,233.76080322265625,57522092.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,286.0,287.1369934082031,282.1990051269531,283.6000061035156,233.1032867431641,66050186.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,286.5,294.25,286.5,291.70001220703125,239.76101684570312,57764266.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,287.6000061035156,293.15399169921875,286.1499938964844,291.75,239.8021240234375,39872294.0,3.0,0.0,1.0,0.0,0.0,,,,
2014-01-15,293.29998779296875,298.031005859375,292.3500061035156,296.5,243.7063751220703,53319972.0,3.0,0.0,1.0,0.0,0.0,,,,
2014-01-16,297.3999938964844,298.1319885253906,287.3999938964844,290.45001220703125,238.73362731933597,57678913.0,3.0,0.0,1.0,0.0,0.0,,,,
2014-01-17,291.3999938964844,293.0,286.5,288.6000061035156,237.2130279541016,55284460.0,4.0,0.0,1.0,0.0,0.0,,,,
2014-01-20,284.5,286.38299560546875,282.20001220703125,282.79998779296875,232.4457092285156,41065602.0,4.0,1.0,2.0,0.0,0.0,,,,
2014-01-21,283.0,285.6189880371094,279.9320068359375,280.60000610351557,230.63743591308597,49783378.0,4.0,1.0,2.0,0.0,0.0,,,,
2014-01-22,281.6000061035156,283.79998779296875,277.49398803710943,278.20001220703125,228.66482543945312,39777422.0,6.0,1.0,2.0,0.0,0.0,,,,
2014-01-23,278.0,284.54901123046875,277.21099853515625,278.89999389648443,229.24020385742188,45229210.0,6.0,1.0,2.0,0.0,0.0,,,,
2014-01-24,279.29998779296875,280.885986328125,270.8389892578125,272.25,223.77423095703125,69520979.0,6.0,1.0,2.0,0.0,0.0,,,,
2014-01-27,272.0,275.7269897460937,268.04400634765625,269.35000610351557,221.3905792236328,48145653.0,6.0,1.0,2.0,0.0,0.0,,,,
2014-01-28,271.95001220703125,274.64498901367193,270.07501220703125,273.29998779296875,224.6372528076172,36437032.0,6.0,1.0,3.0,0.0,0.0,,,,
2014-01-29,281.95001220703125,284.79998779296875,268.79998779296875,274.95001220703125,225.99351501464844,87001052.0,6.0,1.0,3.0,0.0,0.0,,,,
2014-01-30,275.0,275.89999389648443,271.60000610351557,275.04998779296875,226.0756072998047,35619563.0,9.0,1.0,3.0,0.0,0.0,,,,
2014-01-31,274.35000610351557,274.39999389648443,267.54998779296875,272.5,223.97972106933597,49273966.0,9.0,2.0,3.0,0.0,1.0,,,,
2014-02-03,270.85000610351557,272.96499633789057,265.04998779296875,265.70001220703125,218.39047241210938,44833380.0,9.0,2.0,3.0,0.0,1.0,,,,
2014-02-04,264.35000610351557,268.10000610351557,263.0,264.54998779296875,217.44525146484372,45437421.0,11.0,2.0,4.0,0.0,1.0,,,,
2014-02-05,263.35000610351557,268.09201049804693,261.04998779296875,264.95001220703125,217.7740478515625,36873210.0,11.0,2.0,4.0,0.0,1.0,,,,
2014-02-06,266.89999389648443,271.14999389648443,265.04998779296875,269.95001220703125,221.8837738037109,44691998.0,11.0,2.0,4.0,0.0,1.0,,,,
2014-02-07,271.45001220703125,273.45001220703125,269.5,271.70001220703125,223.3221740722656,39727546.0,12.0,2.0,4.0,0.0,1.0,,,,
2014-02-10,272.79998779296875,277.3699951171875,271.39999389648443,275.0,226.0345916748047,51686518.0,14.0,2.0,4.0,0.0,1.0,,,,
2014-02-11,276.95001220703125,278.0,255.5,264.70001220703125,217.56858825683597,162028681.0,15.0,2.0,6.0,0.0,1.0,,,,
2014-02-12,264.70001220703125,271.5159912109375,259.75,260.45001220703125,214.0752716064453,58225865.0,15.0,2.0,7.0,0.0,2.0,,,,
2014-02-13,260.29998779296875,260.875,251.1000061035156,256.39999389648443,210.7464141845703,107515456.0,15.0,2.0,7.0,0.0,2.0,,,,
2014-02-14,257.54998779296875,258.71798706054693,252.8000030517578,253.0,207.9517822265625,61058330.0,15.0,2.0,8.0,0.0,2.0,,,,
2014-02-17,253.0,257.40701293945307,253.0,256.04998779296875,210.45872497558597,72624243.0,15.0,2.0,8.0,0.0,2.0,,,,
2014-02-18,257.64999389648443,262.54598999023443,252.9499969482422,261.29998779296875,214.77389526367188,52407386.0,15.0,2.0,8.0,0.0,2.0,,,,
2014-02-19,259.70001220703125,261.95001220703125,254.75,255.8000030517578,213.10772705078125,43412263.0,15.0,2.0,8.0,0.0,2.0,,,,
2014-02-20,253.6499938964844,256.281005859375,252.5,255.25,212.64952087402344,33880196.0,15.0,2.0,8.0,0.0,2.0,,,,
2014-02-21,256.60000610351557,258.79998779296875,256.0,258.0,214.94058227539062,42026628.0,15.0,2.0,8.0,0.0,2.0,,,,
2014-02-24,257.29998779296875,260.35299682617193,256.20001220703125,259.0,215.773681640625,37938685.0,15.0,2.0,8.0,0.0,2.0,,,,
2014-02-25,259.35000610351557,259.89999389648443,254.0,257.89999389648443,214.85723876953125,58267466.0,15.0,2.0,9.0,0.0,2.0,,,,
2014-02-26,258.45001220703125,260.4769897460937,251.8000030517578,253.1499938964844,210.90000915527344,45055452.0,16.0,2.0,9.0,0.0,2.0,,,,
2014-02-27,252.1999969482422,254.6000061035156,249.6000061035156,253.8999938964844,211.5248565673828,46077553.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-02-28,254.3999938964844,255.0,251.25,252.1000061035156,210.02525329589844,58789772.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-03,249.3500061035156,250.34500122070312,245.0500030517578,247.8500061035156,206.48452758789062,53499781.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-04,250.25,254.25,249.0500030517578,252.9499969482422,210.7333831787109,46362546.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-05,253.6999969482422,254.0,250.3999938964844,252.25,210.15025329589844,34279190.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-06,253.8999938964844,256.2890014648437,252.6000061035156,253.3000030517578,211.0249938964844,25035925.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-07,254.0500030517578,254.4949951171875,247.3000030517578,248.3500061035156,206.9011383056641,50823924.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-10,245.5,248.35499572753903,240.6999969482422,242.0,201.6109161376953,68238715.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-11,242.3500061035156,243.1499938964844,233.6499938964844,236.1499938964844,196.7372589111328,94805461.0,17.0,2.0,9.0,0.0,2.0,,,,
2014-03-12,235.0,237.1000061035156,230.3500061035156,233.75,194.7378387451172,61994663.0,18.0,2.0,9.0,0.0,2.0,,,,
2014-03-13,235.5,240.3500061035156,234.9499969482422,235.6499938964844,196.3207092285156,64888340.0,18.0,3.0,9.0,0.0,2.0,,,,
2014-03-14,235.6000061035156,238.6499938964844,228.28900146484372,231.1499938964844,192.57174682617188,73837468.0,21.0,3.0,9.0,0.0,2.0,,,,
2014-03-17,232.1000061035156,233.66700744628903,229.9499969482422,231.0500030517578,192.48843383789062,46130614.0,21.0,3.0,9.0,0.0,2.0,,,,
2014-03-18,231.8000030517578,238.0,230.1999969482422,236.0500030517578,196.65396118164062,57727630.0,21.0,3.0,9.0,0.0,2.0,,,,
2014-03-19,238.5,243.3000030517578,232.1660003662109,241.5,201.19439697265625,64501431.0,22.0,4.0,9.0,0.0,2.0,,,,
2014-03-20,239.8999938964844,242.0500030517578,236.1000061035156,238.6499938964844,198.8200225830078,44844626.0,22.0,4.0,9.0,0.0,2.0,,,,
2014-03-21,238.1499938964844,239.25,234.5,235.8999938964844,196.52899169921875,105176065.0,22.0,4.0,9.0,0.0,2.0,,,,
2014-03-24,237.6000061035156,250.0,233.1000061035156,234.0500030517578,194.9877166748047,42304971.0,22.0,4.0,9.0,0.0,2.0,,,,
2014-03-25,234.6499938964844,250.0,234.3000030517578,236.9499969482422,197.4037628173828,41103100.0,22.0,4.0,9.0,0.0,2.0,,,,
2014-03-26,237.25,237.6000061035156,232.8500061035156,233.3000030517578,194.3629150390625,60112278.0,23.0,4.0,9.0,0.0,2.0,,,,
2014-03-27,232.3500061035156,232.6999969482422,229.8000030517578,230.9499969482422,192.4051513671875,48071814.0,23.0,4.0,9.0,0.0,2.0,,,,
2014-03-28,232.6499938964844,233.9499969482422,227.6499938964844,231.1000061035156,192.5301055908203,49112115.0,24.0,4.0,11.0,0.0,2.0,,,,
2014-03-31,231.8999938964844,233.75,231.1000061035156,233.3999938964844,194.4462432861328,69418299.0,24.0,4.0,11.0,0.0,2.0,,,,
2014-04-01,236.3500061035156,237.95199584960938,233.3999938964844,237.4499969482422,197.82028198242188,46496445.0,24.0,4.0,11.0,0.0,2.0,,,,
2014-04-02,238.5,243.96499633789062,238.1179962158203,242.75,202.2357177734375,56180791.0,24.0,4.0,11.0,0.0,2.0,,,,
2014-04-03,244.0,246.4499969482422,240.7700042724609,244.1000061035156,203.3604278564453,52338121.0,24.0,4.0,11.0,0.0,2.0,,,,
2014-04-04,245.5500030517578,249.0,241.76199340820312,248.1499938964844,206.73448181152344,53060580.0,24.0,4.0,11.0,0.0,2.0,,,,
2014-04-07,246.4499969482422,248.0500030517578,241.1499938964844,241.8500061035156,201.4859619140625,49049990.0,25.0,4.0,11.0,0.0,2.0,,,,
2014-04-08,241.0500030517578,242.25,234.3500061035156,238.6000061035156,198.7783660888672,42603582.0,25.0,4.0,11.0,0.0,2.0,,,,
2014-04-09,239.0500030517578,241.25,237.5500030517578,238.5,198.69505310058597,36477199.0,25.0,4.0,11.0,0.0,2.0,,,,
2014-04-10,239.6000061035156,242.06700134277344,237.8500061035156,239.75,199.7364044189453,36763640.0,25.0,4.0,12.0,0.0,2.0,,,,
2014-04-11,238.0,239.6790008544922,232.9759979248047,236.0500030517578,196.65396118164062,66656662.0,25.0,4.0,12.0,0.0,2.0,,,,
2014-04-14,234.8999938964844,237.32000732421875,230.9499969482422,237.3000030517578,197.69532775878903,73074735.0,25.0,4.0,12.0,0.0,2.0,0.0,-1.9774247407913208,2.923246145248413,-0.6441735625267029
2014-04-15,237.0,239.11700439453125,232.1499938964844,233.1499938964844,194.23794555664062,35919819.0,25.0,4.0,13.0,0.0,2.0,,,,
2014-04-16,234.1499938964844,238.20899963378903,234.0,237.5500030517578,197.90362548828125,37671148.0,25.0,4.0,13.0,0.0,2.0,,,,
2014-04-17,238.8999938964844,250.1499938964844,234.6499938964844,246.5,205.35987854003903,143984283.0,25.0,4.0,13.0,0.0,2.0,,,,
2014-04-22,247.0,249.3999938964844,244.8999938964844,247.25,205.9846954345703,48714500.0,25.0,4.0,13.0,0.0,2.0,,,,
2014-04-23,249.0,249.6999969482422,246.0500030517578,248.8999938964844,207.3592987060547,43800023.0,25.0,4.0,13.0,0.0,2.0,,,,
2014-04-24,249.9499969482422,253.5500030517578,249.4499969482422,252.0,209.9419403076172,45180978.0,27.0,4.0,13.0,0.0,2.0,-1.0,-1.0748739242553713,5.671259045600891,-3.318551778793335
2014-04-25,250.8500061035156,252.8500061035156,247.75,248.8500061035156,207.31768798828125,31678090.0,30.0,5.0,13.0,0.0,2.0,0.0,0.7336419224739075,1.1534405946731567,-1.4217121601104736
2014-04-27,,,,,,,,,,,,0.0,-1.578818678855896,2.9767534732818604,-1.208688735961914
2014-04-28,249.0,250.6999969482422,248.0500030517578,249.0,207.4426422119141,29178076.0,30.0,5.0,13.0,0.0,2.0,-1.0,1.3807107210159302,0.12111771106719972,-0.8061846494674683
2014-04-29,248.8000030517578,251.6999969482422,244.8000030517578,250.25,208.48399353027344,52098890.0,30.0,5.0,13.0,0.0,2.0,1.0,-1.998834013938904,-0.03821568936109543,2.309435606002808
2014-04-30,249.8000030517578,253.10400390625,248.1100006103516,252.1999969482422,210.1085662841797,38563163.0,30.0,5.0,13.0,0.0,2.0,0.0,-1.257422924041748,2.631448268890381,-1.21639883518219
2014-05-01,255.0,257.17800903320307,253.75,256.14999389648443,213.39930725097656,26966909.0,30.0,5.0,13.0,0.0,3.0,,,,
2014-05-02,256.0,258.60299682617193,253.97999572753903,258.5,215.35711669921875,55473848.0,30.0,5.0,13.0,0.0,3.0,0.0,0.3578919470310211,1.2715336084365845,-1.507789969444275
2014-05-06,252.8500061035156,255.322998046875,244.26800537109372,245.0,204.11019897460938,76029546.0,31.0,5.0,14.0,0.0,3.0,-2.0,0.7067777514457703,2.234618306159973,-1.7673639506101608
2014-05-07,242.8000030517578,245.54400634765625,239.1000061035156,243.3000030517578,202.69395446777344,86499974.0,33.0,5.0,14.0,0.0,3.0,,,,
2014-05-08,251.0,264.56600952148443,249.3500061035156,262.45001220703125,218.6478729248047,173407501.0,34.0,5.0,14.0,0.0,3.0,0.0,-0.3891436457633972,1.8429907560348509,-1.360692262649536
2014-05-09,265.0,267.54998779296875,258.70001220703125,260.14999389648443,216.73175048828125,72010592.0,36.0,6.0,14.0,0.0,3.0,0.0,-1.868091702461243,2.166665315628052,-0.06695876270532608
2014-05-11,,,,,,,,,,,,-1.0,-0.3379424810409546,3.300404325127602,-2.0334925055503845
2014-05-12,259.0,259.70001220703125,254.75,256.64999389648443,213.81588745117188,38397133.0,36.0,6.0,17.0,0.0,3.0,,,,
2014-05-13,257.5,259.0,252.48199462890625,255.3500061035156,212.73284912109372,42992394.0,36.0,6.0,17.0,0.0,3.0,0.0,-2.1096143722534184,2.378207206726074,-0.18838095664978027
2014-05-14,254.1000061035156,254.8999938964844,249.9499969482422,251.3000030517578,210.1819000244141,26025684.0,36.0,6.0,17.0,0.0,3.0,,,,
2014-05-15,251.9499969482422,254.0500030517578,244.3390045166016,244.8000030517578,204.7454376220703,51428273.0,37.0,6.0,17.0,0.0,3.0,,,,
2014-05-16,245.8000030517578,246.4080047607422,239.3000030517578,241.5500030517578,202.0271759033203,70617106.0,37.0,6.0,17.0,0.0,3.0,,,,
2014-05-19,240.0,241.47000122070312,235.75,238.9499969482422,199.8526153564453,70096565.0,37.0,6.0,17.0,0.0,3.0,0.0,-5.117332935333252,4.532371282577515,0.5539121925830841
2014-05-20,239.6000061035156,239.96299743652344,236.6999969482422,238.5500030517578,199.5180969238281,31494137.0,37.0,6.0,17.0,0.0,3.0,0.0,-0.255746066570282,0.9708786606788636,-0.494124561548233
2014-05-21,239.75,243.8710021972656,236.8999938964844,241.6999969482422,202.15269470214844,50774436.0,37.0,6.0,17.0,0.0,3.0,,,,
2014-05-22,243.5,244.67300415039062,241.6499938964844,243.5,203.65814208984372,30945783.0,37.0,6.0,18.0,0.0,3.0,,,,
2014-05-23,243.6000061035156,247.54400634765625,242.44500732421875,246.6000061035156,206.2509307861328,34838050.0,37.0,7.0,18.0,0.0,3.0,-1.0,1.1808878183364868,0.4662556648254394,-1.0678695440292358
2014-05-27,247.75,249.4279937744141,245.25,245.5,205.3308868408203,41354634.0,37.0,7.0,18.0,0.0,3.0,0.0,-3.7012553215026855,6.255695819854736,-2.131626844406128
2014-05-28,246.0,246.9499969482422,242.3000030517578,245.3500061035156,205.2054443359375,46099943.0,37.0,7.0,18.0,0.0,3.0,-1.0,2.394819736480713,-0.8263270854949951,-1.0471396446228027
2014-05-29,245.9499969482422,246.2760009765625,244.32000732421875,246.0500030517578,205.79087829589844,20966611.0,37.0,7.0,18.0,0.0,3.0,-1.0,1.197050929069519,0.16868075728416446,-0.9080582857131958
