Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,3252.5,3252.5,3207.0,3207.5,2352.328125,2054699.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,3208.0,3229.0,3196.5,3200.0,2346.82763671875,1345823.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,3195.5,3219.0,3186.0,3205.5,2350.861083984375,1512558.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,3202.0,3219.5,3185.5,3185.5,2336.193603515625,2108532.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,3168.0,3193.97998046875,3087.5,3154.5,2313.458984375,3274350.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,3153.0,3166.5,3105.0,3111.5,2281.92333984375,2593978.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,3142.0,3143.0,3081.530029296875,3084.5,2262.1220703125,3387571.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,3089.0,3096.0,3018.0,3042.5,2231.320068359375,4887790.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,3040.0,3075.10009765625,3025.0,3054.0,2239.753662109375,2857699.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-15,3080.0,3086.0,3073.0,3084.0,2261.75537109375,2446236.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-16,3081.5,3093.5,3059.0,3085.0,2262.48876953125,3546453.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-17,3088.0,3105.0,3063.5,3075.0,2255.15478515625,4137442.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-20,3080.0,3127.0,3073.340087890625,3121.0,2288.890869140625,1786530.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-21,3125.0,3163.0,3114.5,3148.0,2308.691650390625,3275460.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-22,3150.0,3177.0,3149.5,3167.0,2322.626708984375,2589813.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-23,3163.0,3192.0,3121.0,3126.5,2292.923828125,2781035.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-24,3120.5,3146.5,3068.0,3073.5,2254.0546875,3471911.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-27,3073.0,3078.0,3022.0,3024.5,2218.118896484375,3286580.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-28,3025.0,3032.0,2979.5,2985.0,2189.150146484375,3146952.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-29,3000.5,3001.0,2922.830078125,2929.0,2148.080810546875,4265692.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-30,2938.5,2939.0,2877.5,2889.5,2119.112060546875,5271659.0,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-31,2915.5,2958.5,2871.0,2916.0,2138.546875,4704036.0,3.0,0.0,0.0,0.0,0.0,,,,
2014-02-03,2914.5,2944.5,2903.0,2916.5,2138.91357421875,2559096.0,3.0,0.0,0.0,0.0,0.0,,,,
2014-02-04,2900.0,2922.0,2900.0,2903.5,2129.37939453125,3626704.0,3.0,0.0,0.0,0.0,0.0,,,,
2014-02-05,2906.0,2920.5,2878.5,2881.0,2112.878173828125,3071958.0,3.0,0.0,0.0,0.0,0.0,,,,
2014-02-06,2891.0,2932.5,2884.0,2928.0,2147.347412109375,3427252.0,3.0,0.0,0.0,0.0,0.0,,,,
2014-02-07,2935.5,2953.5,2910.5,2925.0,2145.147705078125,2414703.0,3.0,0.0,0.0,0.0,0.0,,,,
2014-02-10,2938.0,2966.5,2935.0,2966.5,2175.582763671875,2118468.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-11,2984.5,2995.5,2967.5,2993.0,2195.017578125,3093019.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-12,3000.0,3012.5,2985.0,2995.0,2196.484130859375,3635252.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-13,2994.5,3063.5,2986.5,3052.0,2238.28662109375,4474471.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-14,3042.5,3049.0,3022.050048828125,3047.0,2234.619873046875,2270236.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-17,3058.0,3109.929931640625,3046.43994140625,3108.5,2279.72314453125,2444981.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-18,3122.5,3146.5,3096.0,3141.0,2303.558349609375,3735057.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-19,3118.5,3132.5,3098.800048828125,3126.5,2292.923828125,4677687.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-20,3100.5,3152.0,3091.5,3152.0,2311.625,3712040.0,4.0,0.0,0.0,0.0,0.0,,,,
2014-02-21,3148.5,3173.0,3143.5,3155.0,2313.825927734375,4154972.0,6.0,0.0,0.0,0.0,0.0,,,,
2014-02-24,3141.0,3182.5,3119.14990234375,3182.5,2333.993408203125,3548310.0,6.0,0.0,0.0,0.0,0.0,,,,
2014-02-25,3177.5,3189.5,3142.0,3176.5,2329.59375,5322432.0,6.0,1.0,0.0,0.0,0.0,,,,
2014-02-26,3172.5,3193.0,3153.5,3174.0,2327.760009765625,2418275.0,6.0,1.0,0.0,0.0,0.0,,,,
2014-02-27,3185.0,3240.0,3129.0,3219.5,2361.12890625,5222649.0,7.0,1.0,1.0,1.0,1.0,,,,
2014-02-28,3236.0,3274.590087890625,3227.6201171875,3250.0,2383.4970703125,4897170.0,9.0,1.0,1.0,1.0,1.0,,,,
2014-03-03,3200.0,3227.0,3184.360107421875,3210.5,2354.52783203125,4035930.0,9.0,1.0,1.0,1.0,1.0,,,,
2014-03-04,3256.0,3288.5,3250.5,3286.5,2410.265380859375,3429320.0,9.0,1.0,1.0,1.0,1.0,,,,
2014-03-05,3291.5,3347.0,3279.5,3325.0,2438.50146484375,5074004.0,9.0,1.0,1.0,1.0,1.0,,,,
2014-03-06,3325.0,3344.5,3296.5,3335.0,2445.834716796875,4333372.0,9.0,1.0,1.0,1.0,1.0,,,,
2014-03-07,3340.0,3340.0,3290.0,3290.0,2412.832763671875,3341205.0,9.0,1.0,1.0,1.0,1.0,,,,
2014-03-10,3300.0,3351.0,3300.0,3340.5,2449.868408203125,3307166.0,10.0,1.0,1.0,1.0,1.0,,,,
