Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,2656.0,2658.0,2580.0,2656.0,2032.1939697265625,224780,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,2612.0,2650.0,2577.0,2644.0,2023.012939453125,280858,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,2658.0,2709.0,2641.43994140625,2708.0,2071.981201171875,386745,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,2707.0,2716.0,2660.0,2678.0,2049.02734375,291856,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,2681.0,2706.0,2600.0,2611.0,1997.7630615234373,333917,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,2625.0,2635.0,2587.0,2612.0,1998.5281982421875,438213,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,2637.0,2737.0,2634.0,2727.0,2086.5185546875,314670,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,2733.0,2742.239990234375,2673.510009765625,2679.0,2049.792236328125,208271,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,2650.0,2689.0,2627.0,2686.0,2055.148193359375,235476,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-15,2695.0,2707.56005859375,2666.0,2672.0,2044.436279296875,199595,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-16,2670.0,2700.239990234375,2610.0,2637.0,2017.65673828125,238626,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-17,2626.0,2670.39990234375,2621.0,2651.0,2028.368408203125,178639,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-20,2649.0,2665.0,2626.0,2635.0,2016.1265869140625,248819,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-21,2636.0,2650.47998046875,2622.0,2641.0,2020.7169189453125,171519,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-22,2653.0,2665.0,2619.0,2623.0,2006.9453125,179104,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-23,2612.0,2629.43994140625,2568.0,2581.0,1974.8092041015625,214523,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-24,2585.0,2617.0,2518.0,2538.0,1941.9088134765625,272413,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-27,2533.0,2570.0,2448.0,2510.0,1920.485107421875,344268,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-28,2514.0,2620.0,2514.0,2568.0,1964.862548828125,284408,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-29,2603.0,2630.0,2548.0,2569.0,1965.6278076171875,364925,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-30,2563.0,2604.0,2559.0,2583.0,1976.339599609375,223950,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-31,2573.0,2648.0,2541.0,2587.0,1979.39990234375,304087,0.0,0.0,3.0,0.0,0.0,,,,
2014-02-03,2581.0,2612.0,2543.0,2547.0,1948.794921875,219588,0.0,0.0,3.0,0.0,0.0,,,,
2014-02-04,2500.0,2530.56005859375,2451.0,2484.0,1900.59130859375,426263,0.0,0.0,3.0,1.0,0.0,,,,
2014-02-05,2469.0,2528.719970703125,2469.0,2512.0,1922.0147705078125,315886,0.0,0.0,3.0,1.0,0.0,,,,
2014-02-06,2535.0,2586.0,2519.0,2551.0,1951.85498046875,310340,0.0,0.0,3.0,1.0,0.0,,,,
2014-02-07,2550.0,2598.0,2550.0,2573.0,1968.6884765625,198823,0.0,0.0,3.0,1.0,0.0,,,,
2014-02-10,2570.0,2627.800048828125,2570.0,2609.0,1996.23291015625,299919,0.0,0.0,4.0,1.0,0.0,,,,
2014-02-11,2634.0,2653.0,2609.0,2626.0,2009.2398681640625,265537,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-12,2630.0,2639.0,2597.0,2636.0,2016.8916015625,254833,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-13,2624.0,2637.39990234375,2581.0,2601.0,1990.112060546875,213311,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-14,2594.0,2636.0,2594.0,2614.0,2000.05859375,129156,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-17,2621.0,2684.60009765625,2608.0,2673.0,2045.201416015625,193088,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-18,2669.0,2693.0,2631.0,2686.0,2055.148193359375,260165,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-19,2692.0,2719.0,2675.0,2691.0,2058.973876953125,204597,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-20,2663.0,2715.0,2644.0,2709.0,2072.74658203125,194778,0.0,0.0,5.0,1.0,0.0,,,,
2014-02-21,2720.0,2759.0,2710.0,2743.0,2098.76123046875,264736,0.0,1.0,6.0,1.0,0.0,,,,
2014-02-24,2735.0,2808.0,2718.0,2780.0,2127.071044921875,335091,0.0,1.0,6.0,1.0,0.0,,,,
2014-02-25,2800.0,2803.840087890625,2721.0,2743.0,2098.76123046875,388067,0.0,1.0,6.0,1.0,0.0,,,,
2014-02-26,2751.0,2757.39990234375,2664.0,2700.0,2065.860107421875,312429,0.0,1.0,6.0,1.0,0.0,,,,
2014-02-27,2708.0,2752.0,2685.0,2746.0,2101.05615234375,260972,0.0,1.0,6.0,1.0,0.0,,,,
2014-02-28,2734.0,2776.0,2721.0,2741.0,2097.230712890625,307271,0.0,1.0,6.0,1.0,0.0,,,,
2014-03-03,2701.0,2702.0,2662.0,2668.0,2041.3763427734373,263829,0.0,1.0,6.0,1.0,0.0,,,,
2014-03-04,2713.0,2725.0,2674.0,2715.0,2077.337158203125,335213,0.0,1.0,6.0,1.0,0.0,,,,
2014-03-05,2719.0,2730.699951171875,2665.0,2712.0,2075.041748046875,250524,0.0,1.0,7.0,1.0,0.0,,,,
2014-03-06,2738.0,2774.0,2685.0,2712.0,2075.041748046875,508315,0.0,1.0,8.0,1.0,0.0,,,,
2014-03-07,2716.0,2726.0,2670.0,2688.0,2056.678466796875,209888,0.0,1.0,8.0,1.0,0.0,,,,
2014-03-10,2686.0,2704.0,2604.0,2640.0,2019.9520263671875,300275,0.0,1.0,8.0,1.0,0.0,,,,
2014-03-11,2632.0,2650.0,2515.85009765625,2596.0,1986.286376953125,635290,0.0,1.0,8.0,1.0,0.0,,,,
2014-03-12,2590.0,2621.0,2571.0,2608.0,1995.468017578125,236438,0.0,1.0,8.0,1.0,0.0,,,,
2014-03-13,2618.0,2618.0,2570.0,2585.0,1977.8697509765625,257621,0.0,1.0,8.0,1.0,0.0,,,,
2014-03-14,2562.0,2649.0,2545.0,2642.0,2021.4825439453125,361251,0.0,1.0,8.0,1.0,0.0,,,,
2014-03-17,2701.0,2756.0,2650.0,2652.0,2029.1337890625,599568,0.0,1.0,9.0,1.0,0.0,,,,
2014-03-18,2592.0,2732.52001953125,2592.0,2714.0,2076.572265625,460868,0.0,2.0,9.0,1.0,0.0,,,,
2014-03-19,2722.0,2748.0,2680.0,2691.0,2058.973876953125,302936,0.0,2.0,9.0,1.0,0.0,,,,
2014-03-20,2671.0,2681.0,2613.0,2640.0,2019.9520263671875,386697,0.0,2.0,9.0,1.0,0.0,,,,
2014-03-21,2632.0,2647.0,2535.75,2536.0,1940.378173828125,1716909,0.0,2.0,9.0,1.0,0.0,,,,
2014-03-24,2535.0,2586.0,2535.0,2569.0,1965.6278076171875,422280,0.0,2.0,9.0,1.0,0.0,,,,
2014-03-25,2575.0,2618.199951171875,2575.0,2607.0,1994.703125,308395,0.0,2.0,9.0,1.0,0.0,,,,
2014-03-26,2632.0,2655.0,2616.0,2628.0,2010.7706298828125,313155,0.0,2.0,9.0,1.0,0.0,,,,
2014-03-27,2593.0,2622.0,2582.0,2582.0,1975.5743408203125,204568,0.0,2.0,10.0,1.0,0.0,,,,
2014-03-28,2593.0,2619.0,2587.0,2609.0,1996.23291015625,226539,0.0,2.0,10.0,1.0,0.0,,,,
2014-03-31,2622.0,2663.0,2608.0,2620.0,2004.6497802734373,274779,0.0,2.0,10.0,1.0,0.0,,,,
2014-04-01,2623.0,2647.06005859375,2613.0,2646.0,2024.54296875,247780,0.0,2.0,10.0,1.0,0.0,,,,
2014-04-02,2647.0,2661.0,2626.0,2628.0,2010.7706298828125,194580,0.0,2.0,10.0,1.0,0.0,,,,
2014-04-03,2620.0,2632.0,2572.0,2575.0,1970.2183837890625,332744,0.0,2.0,10.0,1.0,0.0,,,,
2014-04-04,2580.0,2586.699951171875,2550.0,2581.0,1974.8092041015625,291206,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-07,2560.0,2566.0,2473.0,2484.0,1900.59130859375,447979,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-08,2481.0,2503.550048828125,2372.820068359375,2400.0,1836.320068359375,420332,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-09,2412.0,2500.0,2390.0,2484.0,1900.59130859375,404974,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-10,2495.0,2502.199951171875,2447.0,2477.0,1895.2357177734373,264720,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-11,2456.0,2461.64990234375,2381.0,2387.0,1826.373291015625,310997,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-14,2381.0,2383.199951171875,2309.85009765625,2355.0,1801.8892822265625,382967,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-15,2352.0,2402.0,2330.0,2340.0,1790.412353515625,333199,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-16,2368.0,2387.0,2343.0,2352.0,1799.5936279296875,247464,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-17,2338.0,2434.0,2338.0,2418.0,1850.092529296875,297744,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-22,2420.0,2490.0,2420.0,2454.0,1877.6373291015625,488407,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-23,2447.0,2466.1201171875,2372.0,2379.0,1820.25244140625,252671,0.0,2.0,11.0,1.0,0.0,,,,
2014-04-24,2400.0,2403.300048828125,2342.0,2357.0,1803.41943359375,408215,0.0,2.0,12.0,1.0,0.0,,,,
2014-04-25,2343.0,2380.969970703125,2293.0,2307.0,1765.1630859375,528643,0.0,2.0,12.0,1.0,0.0,,,,
2014-04-28,2302.0,2326.0,2240.0,2254.0,1724.6107177734375,432797,0.0,2.0,12.0,1.0,0.0,,,,
2014-04-29,2268.0,2294.0,2258.0,2279.0,1743.739013671875,356902,0.0,2.0,12.0,1.0,0.0,,,,
2014-04-30,2278.0,2312.0,2257.0,2294.0,1755.2159423828125,478456,0.0,2.0,12.0,1.0,0.0,,,,
2014-05-01,2285.0,2352.280029296875,2285.0,2344.0,1793.47265625,229390,0.0,2.0,12.0,1.0,0.0,,,,
2014-05-02,2360.0,2448.0,2351.0,2412.0,1845.501708984375,616379,0.0,2.0,12.0,1.0,0.0,,,,
2014-05-06,2409.0,2472.0,2380.0,2393.0,1830.964111328125,599227,0.0,2.0,12.0,1.0,0.0,,,,
2014-05-07,2390.0,2401.0,2370.0,2375.0,1817.191650390625,354800,0.0,2.0,12.0,1.0,0.0,,,,
2014-05-08,2375.0,2393.0,2371.610107421875,2387.0,1826.373291015625,245485,0.0,2.0,13.0,1.0,0.0,,,,
2014-05-09,2390.0,2395.0,2349.31005859375,2382.0,1822.5477294921875,325629,0.0,2.0,13.0,1.0,0.0,,,,
2014-05-12,2400.0,2409.0,2352.0,2360.0,1805.7147216796875,233427,0.0,2.0,13.0,1.0,0.0,,,,
2014-05-13,2400.0,2409.0,2364.0,2400.0,1836.320068359375,216468,0.0,2.0,13.0,1.0,0.0,,,,
2014-05-14,2400.0,2400.0,2305.0,2309.0,1766.6932373046875,346290,0.0,2.0,13.0,1.0,0.0,,,,
2014-05-15,2315.0,2325.0,2206.0,2217.0,1696.30078125,474493,0.0,2.0,13.0,1.0,0.0,,,,
2014-05-16,2227.0,2228.0,2173.0,2211.0,1691.7099609375,507807,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-19,2212.0,2221.0,2166.0,2193.0,1677.9376220703125,535715,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-20,2198.0,2257.0,2198.0,2245.0,1717.7242431640625,327057,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-21,2252.0,2252.0,2199.300048828125,2249.0,1720.784912109375,514438,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-22,2253.0,2276.280029296875,2246.0,2260.0,1729.20166015625,196382,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-23,2260.0,2279.0,2253.0,2259.0,1728.436279296875,235362,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-27,2261.0,2300.60009765625,2261.0,2276.0,1741.4432373046875,269338,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-28,2278.0,2305.0,2271.0,2300.0,1759.8070068359375,266707,0.0,2.0,14.0,1.0,0.0,,,,
2014-05-29,2309.0,2309.0,2222.0,2238.0,1712.3685302734375,215051,0.0,2.0,14.0,1.0,0.0,,,,
