Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,490.95001220703125,490.95001220703125,484.6499938964844,488.8500061035156,329.1540222167969,17484921.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,488.8500061035156,493.3999938964844,486.20001220703125,487.8999938964844,328.5143737792969,18104875.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,488.3500061035156,491.6000061035156,485.1000061035156,488.95001220703125,329.2214050292969,18270944.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,488.0499877929688,495.1090087890625,484.1000061035156,494.0,332.6215515136719,23078624.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,494.5,494.72100830078125,491.25,492.8500061035156,331.84722900390625,15469583.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,495.1000061035156,499.8999938964844,494.1000061035156,495.2999877929688,333.4969177246094,24620468.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,489.0,499.3500061035156,487.0,497.0,334.6415710449219,37147710.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-13,496.2999877929688,497.6499938964844,490.54400634765625,495.7999877929688,333.83355712890625,21919521.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-14,490.95001220703125,492.8080139160156,487.0,491.0499877929688,330.6352233886719,22855348.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-15,493.3999938964844,494.8999938964844,491.0450134277344,492.8500061035156,331.84722900390625,27630089.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-16,490.8999938964844,491.3500061035156,487.3999938964844,489.45001220703125,329.5580749511719,25223433.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-17,482.0,492.0,473.7030029296875,491.0499877929688,330.6352233886719,44813799.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-20,490.3999938964844,494.70001220703125,487.2999877929688,494.2999877929688,332.8236083984375,14172069.0,1.0,0.0,1.0,0.0,0.0,,,,
