Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,2710.89990234375,2729.570068359375,2682.360107421875,2682.360107421875,2299.2265625,341998,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,2673.550048828125,2717.47998046875,2651.590087890625,2709.840087890625,2322.78076171875,273178,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,2708.669921875,2719.7099609375,2676.840087890625,2694.4599609375,2309.59765625,198899,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,2686.7099609375,2686.7099609375,2617.530029296875,2646.080078125,2268.1279296875,307473,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,2658.169921875,2658.169921875,2609.7900390625,2619.659912109375,2245.48193359375,195016,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,2619.659912109375,2619.659912109375,2540.610107421875,2550.47998046875,2186.1826171875,326376,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,2561.52001953125,2591.1201171875,2542.739990234375,2568.090087890625,2201.27783203125,263878,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,2582.31005859375,2593.340087890625,2566.929931640625,2584.5400390625,2215.37841796875,352373,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,2566.929931640625,2627.39990234375,2562.580078125,2613.080078125,2239.841796875,236030,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-15,2626.340087890625,2653.820068359375,2609.7900390625,2647.139892578125,2269.03662109375,332980,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-16,2654.8798828125,2673.550048828125,2640.56005859375,2642.7900390625,2265.30810546875,362859,2.0,0.0,0.0,0.0,0.0,,,,
2014-01-17,2637.27001953125,2670.27001953125,2579.02001953125,2650.429931640625,2271.856689453125,288575,2.0,0.0,1.0,0.0,0.0,,,,
2014-01-20,2635.0400390625,2663.68994140625,2632.919921875,2659.22998046875,2279.39990234375,215668,2.0,0.0,1.0,0.0,0.0,,,,
2014-01-21,2643.85009765625,2679.070068359375,2643.530029296875,2663.68994140625,2283.222412109375,244764,2.0,0.0,1.0,0.0,0.0,,,,
2014-01-22,2720.77001953125,2726.280029296875,2670.800048828125,2684.590087890625,2301.137451171875,261021,2.0,1.0,1.0,0.0,0.0,,,,
2014-01-23,2698.81005859375,2698.81005859375,2663.68994140625,2681.18994140625,2298.223388671875,235251,2.0,1.0,2.0,0.0,0.0,,,,
2014-01-24,2677.89990234375,2685.64990234375,2623.050048828125,2637.27001953125,2260.57666015625,276795,2.0,1.0,2.0,0.0,0.0,,,,
2014-01-27,2630.68994140625,2655.93994140625,2587.830078125,2593.340087890625,2222.9208984375,277976,2.0,1.0,2.0,0.0,0.0,,,,
2014-01-28,2604.27001953125,2605.43994140625,2571.3798828125,2593.340087890625,2222.9208984375,209139,2.0,1.0,2.0,0.0,0.0,,,,
2014-01-29,2613.080078125,2641.72998046875,2595.570068359375,2640.56005859375,2263.39697265625,360977,2.0,1.0,2.0,0.0,0.0,,,,
2014-01-30,2636.2099609375,2642.7900390625,2620.820068359375,2642.7900390625,2265.30810546875,214713,2.0,1.0,2.0,0.0,0.0,,,,
2014-01-31,2637.27001953125,2652.64990234375,2614.25,2650.429931640625,2271.856689453125,288231,2.0,2.0,2.0,0.0,0.0,,,,
2014-02-03,2650.429931640625,2691.169921875,2650.429931640625,2655.93994140625,2276.579833984375,289750,2.0,2.0,2.0,0.0,0.0,,,,
2014-02-04,2639.5,2665.81005859375,2627.39990234375,2665.81005859375,2285.040283203125,261395,2.0,2.0,2.0,0.0,0.0,,,,
2014-02-05,2672.489990234375,2672.489990234375,2631.75,2640.56005859375,2263.39697265625,237278,3.0,2.0,2.0,0.0,0.0,,,,
2014-02-06,2670.27001953125,2670.27001953125,2620.820068359375,2636.2099609375,2259.66796875,307584,3.0,2.0,2.0,0.0,0.0,,,,
2014-02-07,2639.5,2664.75,2614.25,2629.6298828125,2254.028076171875,434503,3.0,2.0,2.0,0.0,0.0,,,,
2014-02-10,2630.68994140625,2671.330078125,2627.39990234375,2664.75,2284.131591796875,342202,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-11,2671.330078125,2720.77001953125,2669.199951171875,2715.360107421875,2327.512939453125,753936,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-12,2716.419921875,2741.669921875,2703.260009765625,2719.7099609375,2331.241455078125,356356,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-13,2713.1298828125,2730.739990234375,2703.260009765625,2723.0,2334.06103515625,247517,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-14,2736.14990234375,2777.949951171875,2734.030029296875,2755.989990234375,2362.339111328125,280586,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-17,2753.760009765625,2769.14990234375,2739.43994140625,2759.280029296875,2365.15966796875,290205,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-18,2759.280029296875,2774.669921875,2736.14990234375,2747.18994140625,2354.79541015625,214569,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-19,2737.320068359375,2775.72998046875,2737.320068359375,2765.860107421875,2370.800048828125,258326,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-20,2739.43994140625,2764.800048828125,2729.570068359375,2758.110107421875,2364.15625,228674,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-21,2765.860107421875,2765.860107421875,2731.800048828125,2738.3798828125,2347.244384765625,174576,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-24,2726.280029296875,2755.989990234375,2714.18994140625,2748.25,2355.704833984375,377995,4.0,2.0,2.0,0.0,0.0,,,,
2014-02-25,2690.0,2807.659912109375,2690.0,2788.8798828125,2390.53125,658943,5.0,2.0,2.0,0.0,1.0,,,,
2014-02-26,2788.8798828125,2792.280029296875,2754.830078125,2776.889892578125,2380.25390625,390285,7.0,2.0,4.0,0.0,2.0,,,,
2014-02-27,2774.669921875,2791.110107421875,2766.919921875,2790.050048828125,2391.533935546875,405726,7.0,2.0,6.0,0.0,2.0,,,,
2014-02-28,2786.760009765625,2799.919921875,2785.590087890625,2792.280029296875,2393.446044921875,263622,7.0,2.0,6.0,0.0,2.0,,,,
2014-03-03,2774.669921875,2774.669921875,2750.47998046875,2763.6298828125,2368.887451171875,261403,7.0,2.0,6.0,0.0,2.0,,,,
2014-03-04,2788.8798828125,2803.2099609375,2765.860107421875,2780.179931640625,2383.07421875,323220,7.0,2.0,6.0,0.0,2.0,,,,
2014-03-05,2771.3798828125,2786.760009765625,2757.050048828125,2759.280029296875,2365.15966796875,358144,7.0,2.0,6.0,0.0,2.0,,,,
2014-03-06,2773.5,2778.3798828125,2726.280029296875,2730.739990234375,2340.695556640625,287736,8.0,2.0,6.0,0.0,2.0,,,,
2014-03-07,2735.090087890625,2735.090087890625,2687.8798828125,2694.4599609375,2309.59765625,247157,8.0,2.0,6.0,0.0,2.0,,,,
2014-03-10,2681.18994140625,2694.4599609375,2652.64990234375,2664.75,2284.131591796875,276717,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-11,2672.489990234375,2681.830078125,2647.139892578125,2658.169921875,2278.4912109375,413297,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-12,2649.360107421875,2651.590087890625,2600.97998046875,2600.97998046875,2229.469970703125,252030,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-13,2593.340087890625,2604.27001953125,2538.389892578125,2538.389892578125,2175.8193359375,419155,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-14,2528.52001953125,2563.639892578125,2521.93994140625,2556.0,2190.914794921875,339265,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-17,2564.800048828125,2612.02001953125,2541.679931640625,2604.27001953125,2232.2900390625,284484,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-18,2612.02001953125,2636.2099609375,2588.889892578125,2629.6298828125,2254.028076171875,277591,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-19,2620.820068359375,2672.489990234375,2620.820068359375,2663.68994140625,2283.222412109375,387082,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-20,2646.080078125,2677.89990234375,2629.6298828125,2657.110107421875,2277.58251953125,290510,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-21,2660.39990234375,2708.669921875,2660.39990234375,2698.81005859375,2313.326416015625,397164,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-24,2693.2900390625,2720.77001953125,2692.22998046875,2714.18994140625,2326.509765625,426224,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-25,2713.1298828125,2741.030029296875,2708.669921875,2719.7099609375,2331.241455078125,375745,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-26,2730.739990234375,2771.909912109375,2727.35009765625,2762.570068359375,2367.9794921875,317915,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-27,2753.760009765625,2781.239990234375,2749.409912109375,2771.3798828125,2375.531005859375,375078,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-28,2783.469970703125,2847.1298828125,2779.02001953125,2790.050048828125,2391.533935546875,1001344,8.0,2.0,6.0,0.0,3.0,,,,
2014-03-31,2793.340087890625,2804.27001953125,2770.2099609375,2797.68994140625,2398.082763671875,266212,8.0,2.0,6.0,0.0,3.0,,,,
2014-04-01,2800.97998046875,2818.909912109375,2798.860107421875,2814.239990234375,2412.26904296875,287205,8.0,2.0,6.0,0.0,3.0,,,,
2014-04-02,2814.239990234375,2825.169921875,2782.300048828125,2793.340087890625,2394.354248046875,280337,8.0,2.0,6.0,0.0,3.0,,,,
2014-04-03,2790.050048828125,2790.050048828125,2729.570068359375,2738.3798828125,2347.244384765625,325472,8.0,2.0,6.0,0.0,3.0,,,,
2014-04-04,2741.669921875,2769.14990234375,2741.669921875,2760.340087890625,2366.06787109375,240797,8.0,2.0,6.0,0.0,3.0,,,,
2014-04-07,2748.25,2775.72998046875,2736.14990234375,2757.050048828125,2363.247802734375,217176,8.0,2.0,6.0,0.0,3.0,,,,
2014-04-08,2753.760009765625,2766.919921875,2726.820068359375,2765.860107421875,2370.800048828125,210244,8.0,2.0,6.0,0.0,3.0,,,,
2014-04-09,2766.919921875,2806.489990234375,2763.6298828125,2796.6298828125,2397.174560546875,171319,9.0,2.0,6.0,0.0,3.0,,,,
2014-04-10,2809.780029296875,2830.68994140625,2796.6298828125,2803.2099609375,2402.814208984375,204223,9.0,2.0,6.0,0.0,3.0,,,,
2014-04-11,2788.8798828125,2843.840087890625,2788.8798828125,2818.590087890625,2415.99755859375,330820,9.0,2.0,6.0,0.0,3.0,,,,
2014-04-14,2805.429931640625,2830.68994140625,2800.97998046875,2816.360107421875,2414.086181640625,340912,9.0,2.0,6.0,0.0,3.0,,,,
2014-04-15,2812.010009765625,2827.39990234375,2799.919921875,2805.429931640625,2404.71728515625,174771,9.0,2.0,6.0,0.0,3.0,,,,
2014-04-16,2796.6298828125,2833.969970703125,2796.6298828125,2813.070068359375,2411.26611328125,206361,9.0,2.0,6.0,0.0,3.0,,,,
2014-04-17,2818.590087890625,2837.260009765625,2797.68994140625,2830.68994140625,2426.369140625,151277,9.0,2.0,6.0,0.0,3.0,,,,
2014-04-22,2837.260009765625,2855.93994140625,2783.469970703125,2824.110107421875,2420.729248046875,280995,9.0,2.0,6.0,0.0,3.0,,,,
