Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,2008.5,2010.5,1987.0,2000.0,1687.0859375,1482001.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,1983.0,1992.0,1971.0,1986.5,1675.6983642578125,2209207.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,1995.5,1997.0,1972.0,1977.0,1667.6844482421875,3115724.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,1977.0,1990.5,1964.0,1965.0,1657.56201171875,3959593.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,1964.0,1968.0,1933.5,1938.5,1635.2078857421875,5132681.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,1945.0,1945.0,1897.6300048828125,1939.0,1635.6298828125,6761430.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,1939.0,1980.0,1939.0,1978.0,1668.5279541015625,5492677.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,1985.5,2000.5,1966.699951171875,1996.0,1683.7119140625,3981225.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,1989.0,2007.5,1976.5,2003.5,1690.0384521484375,3628746.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-15,2006.5,2006.5,1977.0,1981.5,1671.4803466796875,4828128.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-16,1981.0,1992.5,1951.5,1962.0,1655.0316162109375,5182175.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-17,1967.0,2043.5,1931.5,1931.5,1629.3033447265625,8763334.0,1.0,0.0,2.0,0.0,0.0,,,,
2014-01-20,1933.5,1952.5,1930.0,1947.0,1642.3782958984375,3143246.0,1.0,0.0,2.0,0.0,0.0,,,,
2014-01-21,1946.5,1995.5,1942.0,1985.0,1674.43310546875,5062262.0,1.0,0.0,3.0,0.0,0.0,,,,
2014-01-22,1994.5,2008.5,1986.0,1994.0,1682.024658203125,3460129.0,1.0,0.0,3.0,0.0,0.0,,,,
2014-01-23,1999.5,2008.0,1971.5,1972.5,1663.888427734375,3271399.0,1.0,1.0,3.0,0.0,0.0,,,,
2014-01-24,1975.0,1990.0,1941.5,1946.5,1641.9566650390625,4714579.0,1.0,1.0,3.0,0.0,0.0,,,,
2014-01-27,1947.0,1954.0,1907.0,1910.0,1611.1671142578125,4877504.0,2.0,1.0,3.0,0.0,0.0,,,,
2014-01-28,1910.0,1923.5,1901.0,1902.5,1604.840576171875,4078525.0,2.0,1.0,3.0,0.0,0.0,,,,
