Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,1215.0,1283.0,1213.0,1277.0,1166.2967529296875,604615.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,1280.0,1289.0,1265.0,1279.0,1168.1234130859375,298122.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,1286.0,1298.0,1273.0,1280.0,1169.0367431640625,166023.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-07,1283.0,1309.0,1281.0,1305.0,1191.86962890625,278158.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-08,1304.0,1307.0,1270.0,1276.0,1165.3834228515625,184451.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-09,1265.0,1293.0,1263.0,1284.0,1172.6900634765625,142980.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-10,1282.0,1316.0,1282.0,1313.0,1199.176025390625,248092.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-13,1305.0,1325.0,1303.0,1306.0,1192.7828369140625,122915.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-14,1307.0,1312.0,1299.0,1305.0,1191.86962890625,119895.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-15,1307.0,1310.0,1294.0,1296.0,1183.649658203125,111146.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-16,1326.0,1326.0,1237.0,1250.0,1141.637451171875,329451.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-17,1254.0,1266.0,1251.0,1256.0,1147.1173095703125,132959.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-20,1263.0,1270.0,1252.0,1266.0,1156.25048828125,75292.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-21,1271.0,1279.0,1263.0,1263.0,1153.5106201171875,118887.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-22,1265.0,1275.0,1257.0,1257.0,1148.0306396484375,89166.0,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-23,1255.0,1265.0,1255.0,1260.0,1150.7705078125,95649.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-01-24,1255.0,1262.0,1206.0,1206.0,1101.4520263671877,265578.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-01-27,1215.0,1215.0,1174.0,1176.0,1074.0526123046877,174794.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-01-28,1178.0,1206.0,1178.0,1205.0,1100.5384521484377,213056.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-01-29,1214.0,1231.0,1199.0,1208.0,1103.278564453125,231830.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-01-30,1219.0,1231.0,1203.5899658203125,1220.0,1114.2381591796877,154281.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-01-31,1224.0,1228.0,1192.0,1201.0,1096.885498046875,221131.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-03,1207.0,1225.0,1199.0,1210.0,1105.1051025390623,154178.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-04,1213.0,1218.0,1195.0,1197.0,1093.2320556640623,239657.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-05,1190.0,1203.0,1190.0,1190.0,1086.8389892578123,181547.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-06,1204.0,1252.0,1199.0,1233.0,1126.111328125,339730.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-07,1234.0,1239.0,1212.0,1212.0,1106.931884765625,149867.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-10,1209.0,1225.0,1196.760009765625,1216.0,1110.5848388671877,183387.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-11,1216.0,1246.0,1216.0,1246.0,1137.984375,426295.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-12,1249.0,1249.0,1214.0,1240.0,1132.50439453125,324361.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-13,1232.0,1263.0,1232.0,1244.0,1136.1578369140625,199866.0,0.0,2.0,0.0,0.0,0.0,,,,
2014-02-14,1295.0,1334.0,1269.0,1303.0,1190.04296875,627753.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-17,1311.0,1320.0,1283.0,1300.0,1187.30322265625,190411.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-18,1300.0,1313.0,1297.5,1309.0,1195.5225830078125,173615.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-19,1312.0,1331.0,1302.0,1320.0,1205.5692138671875,236317.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-20,1310.0,1337.0,1309.0,1337.0,1221.095703125,169554.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-21,1348.0,1384.0,1339.3499755859375,1380.0,1260.367919921875,352761.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-24,1383.0,1428.0,1367.0,1428.0,1304.206787109375,349391.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-25,1422.0,1431.0,1401.0,1407.0,1285.027099609375,399941.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-26,1404.0,1415.760009765625,1402.0,1409.0,1286.8538818359375,171151.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-27,1399.0,1427.0,1390.0,1427.0,1303.2935791015625,163192.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-02-28,1423.0,1443.0,1419.0,1434.0,1309.6866455078125,200973.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-03-03,1419.0,1432.0,1409.0,1430.0,1306.0330810546875,270143.0,2.0,2.0,0.0,0.0,0.0,,,,
2014-03-04,1445.0,1487.0,1419.0,1485.0,1356.26513671875,222057.0,2.0,3.0,0.0,0.0,0.0,,,,
2014-03-05,1479.0,1497.0,1479.0,1495.0,1365.398681640625,144070.0,2.0,3.0,0.0,0.0,0.0,,,,
2014-03-06,1496.0,1522.0,1488.0,1500.0,1369.965087890625,337050.0,2.0,3.0,0.0,0.0,0.0,,,,
2014-03-07,1495.0,1504.3199462890625,1465.0,1472.0,1344.392333984375,183832.0,2.0,3.0,0.0,0.0,0.0,,,,
2014-03-10,1467.0,1483.0,1456.0,1462.0,1335.2591552734375,163663.0,2.0,3.0,0.0,0.0,0.0,,,,
2014-03-11,1469.0,1481.0,1465.0,1473.0,1345.3057861328125,175290.0,3.0,3.0,0.0,0.0,0.0,,,,
2014-03-12,1484.0,1535.0,1460.0,1527.0,1394.62451171875,660865.0,4.0,3.0,1.0,0.0,0.0,,,,
2014-03-13,1538.0,1564.0,1538.0,1557.0,1422.023681640625,282425.0,4.0,5.0,1.0,0.0,0.0,,,,
