Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,1356.0,1411.0,1351.43994140625,1405.0,1259.0457763671875,777772.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,1408.0,1443.0,1399.0,1441.0,1291.3060302734375,992543.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,1441.0,1491.0,1432.0,1491.0,1336.1119384765625,746928.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,1490.0,1492.0,1456.0,1470.0,1317.293212890625,971958.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,1469.0,1476.0,1449.0,1463.0,1311.0206298828125,546957.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,1465.0,1471.0,1440.0,1449.0,1298.4749755859375,688278.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,1455.0,1489.0,1451.5,1478.0,1324.4622802734375,678054.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,1475.0,1485.0,1454.1300048828125,1485.0,1330.735107421875,442253.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,1485.0,1544.0,1482.0,1508.0,1351.3458251953125,1399505.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-15,1470.0,1476.0,1426.719970703125,1446.0,1295.7864990234375,1780899.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-16,1445.0,1477.1199951171875,1432.25,1476.0,1322.6700439453125,833641.0,0.0,1.0,1.0,0.0,0.0,,,,
2014-01-17,1470.0,1495.6199951171875,1445.0,1453.0,1302.0595703125,974266.0,0.0,2.0,1.0,0.0,0.0,,,,
2014-01-20,1473.0,1509.0,1453.6600341796875,1509.0,1352.241943359375,647441.0,0.0,2.0,2.0,0.0,0.0,,,,
2014-01-21,1519.0,1580.6199951171875,1518.0,1549.0,1388.086669921875,1061469.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-22,1548.0,1560.0,1524.0,1530.0,1371.0604248046875,3350418.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-23,1528.0,1550.0,1526.0,1536.0,1376.4371337890625,682401.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-24,1537.0,1547.0,1497.0,1509.0,1352.241943359375,817751.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-27,1507.0,1510.0,1419.0,1429.0,1280.552490234375,1569415.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-28,1439.0,1486.0,1435.0,1485.0,1330.735107421875,824732.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-29,1493.0,1523.0,1470.0,1483.0,1328.9427490234375,704472.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-30,1480.0,1515.1600341796875,1457.0,1514.0,1356.722412109375,604971.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-01-31,1510.0,1513.0,1469.0,1486.0,1331.6312255859375,728537.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-02-03,1487.0,1501.0,1446.0,1449.0,1298.4749755859375,666632.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-02-04,1443.0,1502.6099853515625,1428.0,1497.0,1341.488525390625,762659.0,0.0,3.0,2.0,0.0,0.0,,,,
2014-02-05,1453.0,1463.25,1326.0,1345.0,1205.278564453125,3056734.0,0.0,3.0,3.0,0.0,0.0,,,,
2014-02-06,1345.0,1394.3599853515625,1333.0,1371.0,1228.5777587890625,1834695.0,0.0,5.0,4.0,0.0,0.0,,,,
2014-02-07,1376.0,1381.0,1344.0,1353.0,1212.44775390625,1183270.0,0.0,5.0,4.0,0.0,0.0,,,,
2014-02-10,1360.0,1362.0,1295.0,1304.0,1168.537841796875,2272783.0,0.0,5.0,4.0,0.0,0.0,,,,
2014-02-11,1305.0,1349.6800537109375,1299.050048828125,1328.0,1190.0447998046875,1140482.0,0.0,5.0,4.0,0.0,0.0,,,,
2014-02-12,1328.0,1350.0,1321.0,1336.0,1197.213623046875,624406.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-13,1337.0,1344.0,1316.6800537109375,1341.0,1201.6942138671875,737222.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-14,1339.0,1349.0,1329.0,1338.0,1199.0057373046875,615135.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-17,1335.0,1351.0,1333.0,1342.0,1202.59033203125,390313.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-18,1348.0,1350.0,1338.0,1346.0,1206.174560546875,1237242.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-19,1347.0,1356.0,1342.0,1352.0,1211.5513916015625,798411.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-20,1343.0,1350.0,1318.0,1321.0,1183.77197265625,637417.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-21,1328.0,1333.239990234375,1312.0,1314.0,1177.4989013671875,1023700.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-24,1317.0,1359.1600341796875,1311.7900390625,1357.0,1216.0321044921875,983503.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-25,1352.0,1354.0,1340.0,1345.0,1205.278564453125,798343.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-26,1343.0,1354.0,1334.0,1350.0,1209.7593994140625,916240.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-27,1349.0,1356.0,1334.0,1350.0,1209.7593994140625,749696.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-02-28,1349.0,1398.0,1348.0,1397.0,1251.8768310546875,846372.0,0.0,6.0,4.0,0.0,0.0,,,,
2014-03-03,1373.0,1373.0,1346.25,1367.0,1224.993408203125,901404.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-04,1375.0,1394.9200439453125,1368.0,1385.0,1241.1234130859375,646456.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-05,1383.0,1400.0,1369.25,1370.0,1227.681640625,608865.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-06,1377.0,1387.3800048828125,1369.0,1370.0,1227.681640625,610782.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-07,1375.0,1395.0,1365.5999755859375,1385.0,1241.1234130859375,711356.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-10,1386.0,1413.02001953125,1381.0,1384.0,1240.2271728515625,789046.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-11,1387.0,1397.989990234375,1371.0,1385.0,1241.1234130859375,384113.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-12,1371.0,1379.0,1339.0,1339.0,1205.9971923828125,665662.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-13,1344.0,1350.0,1316.0,1316.0,1185.281982421875,529450.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-14,1310.0,1314.25,1287.0,1294.0,1165.467041015625,535162.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-17,1299.0,1317.0,1298.0400390625,1314.0,1183.480712890625,380467.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-18,1311.0,1331.0,1310.0,1314.0,1183.480712890625,471226.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-19,1319.0,1513.0,1298.0,1504.0,1354.60791015625,2619352.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-20,1495.0,1500.0,1424.0,1455.0,1310.4749755859375,1557131.0,0.0,6.0,5.0,0.0,0.0,,,,
2014-03-21,1458.0,1473.0,1410.68994140625,1414.0,1273.547607421875,1220955.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-03-24,1412.0,1421.75,1370.0,1374.0,1237.5206298828125,846033.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-03-25,1376.0,1406.0,1374.0,1406.0,1266.34228515625,538632.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-03-26,1415.0,1493.0,1415.0,1481.0,1333.8924560546875,1292825.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-03-27,1477.0,1477.0,1452.0,1471.0,1324.8858642578125,604434.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-03-28,1473.0,1482.6199951171875,1448.0,1460.0,1314.9783935546875,1453913.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-03-31,1466.0,1476.0,1456.0,1458.0,1313.1771240234375,861854.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-01,1466.0,1470.0,1445.25,1450.0,1305.9716796875,676349.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-02,1450.0,1451.0,1414.0,1424.0,1282.5543212890625,917439.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-03,1423.0,1441.0,1418.0,1428.0,1286.156982421875,642794.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-04,1427.0,1445.0,1422.0,1436.0,1293.3623046875,688121.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-07,1421.0,1427.25,1364.0,1365.0,1229.414794921875,917418.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-08,1363.0,1369.1199951171875,1309.0,1315.0,1184.38134765625,1091962.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-09,1323.0,1343.219970703125,1315.0,1340.0,1206.89794921875,940950.0,0.0,6.0,6.0,0.0,0.0,,,,
2014-04-10,1360.0,1378.0,1323.0,1324.0,1192.4871826171875,573106.0,0.0,7.0,6.0,0.0,0.0,,,,
2014-04-11,1305.0,1308.0,1236.1700439453125,1257.0,1132.142333984375,1417315.0,0.0,7.0,6.0,0.0,0.0,,,,
2014-04-14,1250.0,1255.0,1192.0,1207.0,1087.1090087890623,1449300.0,0.0,7.0,6.0,0.0,0.0,,,,
2014-04-15,1205.0,1240.0,1194.0,1211.0,1090.71142578125,1609561.0,0.0,7.0,6.0,0.0,0.0,,,,
2014-04-16,1245.0,1251.0,1148.0,1199.0,1079.9034423828123,1648950.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-04-17,1203.0,1215.7099609375,1188.0,1203.0,1083.506103515625,881958.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-04-22,1203.0,1256.0,1197.0,1247.0,1123.1356201171877,1296280.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-04-23,1249.0,1253.0,1185.1700439453125,1197.0,1078.1021728515623,913883.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-04-24,1205.0,1231.75,1200.0,1212.0,1091.6121826171877,746484.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-04-25,1211.0,1213.0,1166.0,1170.0,1053.783935546875,631182.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-04-28,1170.0,1182.8299560546875,1151.0,1151.0,1036.6712646484377,797700.0,0.0,7.0,7.0,0.0,0.0,1.0,-0.5452511906623839,-1.8696112632751465,2.5994389057159424
2014-04-29,1160.0,1187.0,1160.0,1187.0,1069.0953369140623,839377.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-04-30,1182.0,1186.0,1157.0,1170.0,1053.783935546875,680540.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-05-01,1175.0,1220.0,1164.0,1215.0,1094.314208984375,2054108.0,0.0,7.0,7.0,0.0,0.0,,,,
2014-05-02,1220.0,1225.0,1185.0,1193.0,1074.49951171875,839391.0,0.0,7.0,7.0,0.0,1.0,,,,
2014-05-06,1157.0,1195.0,1145.0,1179.0,1061.89013671875,962829.0,0.0,7.0,7.0,0.0,1.0,,,,
