Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-04-03,285.0,297.9599914550781,186.88400268554688,283.0,283.0,86797556.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-04,287.0,293.0,271.23098754882807,290.75,290.75,8106044.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-07,291.0,291.0,262.5,264.0,264.0,4457955.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-08,269.75,285.89801025390625,237.5,250.0,250.0,10865575.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-09,245.0,268.0,244.0,259.0,259.0,3049255.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-10,257.5,265.09298706054693,250.0,250.0,250.0,927790.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-11,247.5,247.5,230.0,234.75,234.75,5832246.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-14,235.0,235.0,225.0,225.0,225.0,5597793.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-15,231.0,231.0,225.0,225.0,225.0,3314602.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-16,230.0,233.69000244140625,226.0,227.0,227.0,323878.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-17,229.25,233.0,228.50999450683597,233.0,233.0,1024551.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-22,240.0,246.0,232.25,240.0,240.0,664519.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-23,250.0,255.0,238.8999938964844,240.0,240.0,734347.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-24,240.25,244.0,235.0,235.0,235.0,1387908.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-25,235.0,239.75,233.0,233.0,233.0,1364367.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-28,235.0,236.75,224.0,225.0,225.0,954626.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-29,230.0,232.9750061035156,218.0,222.5,222.5,2048578.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-04-30,225.0,226.0,214.75,214.75,214.75,2486480.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-01,218.0,221.0,208.5,219.0,219.0,2781118.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-02,222.0,227.75,215.0,220.0,220.0,3002698.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-06,224.0,234.75,224.0,230.0,230.0,258954.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-07,234.25,235.0,228.25,228.25,228.25,337074.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-08,225.75,233.75,225.0,227.25,227.25,129958.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-09,222.5,227.69000244140625,215.0,215.0,215.0,977990.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-12,220.0,220.75,212.5,214.0,214.0,860539.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-13,213.0,219.5,213.0,217.0,217.0,1270475.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-05-14,231.0,239.25,225.5,229.75,229.75,828510.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-15,227.5,232.0,223.48800659179688,223.5,223.5,192148.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-16,225.0,226.0,209.5,211.75,211.75,1203925.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-19,209.0,214.0,195.25,197.0,197.0,4196669.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-20,196.0,201.75,196.0,199.75,199.75,1434572.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-21,200.5,209.25,199.25,204.75,204.75,1555989.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-22,207.5,222.0,207.0,218.75,218.75,555902.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-23,216.25,227.75,216.0,223.0,223.0,130366.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-27,222.75,226.5,220.0,222.0,222.0,248661.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-28,222.0,231.5,222.0,228.75,228.75,255052.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-29,228.0,241.5,227.3999938964844,239.0,239.0,302352.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-05-30,240.0,248.25,238.0,245.0,245.0,451508.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-02,242.75,254.5,242.75,250.0,250.0,299177.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-03,246.0,254.0,245.25,247.5,247.5,621379.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-04,245.75,246.6000061035156,242.0,242.25,242.25,322138.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-05,239.5,249.5,229.25,237.0,237.0,230983.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-06,231.5,247.0,227.5,246.0,246.0,179438.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-09,241.75,249.25,235.0,249.0,249.0,135179.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-10,247.5,247.5,232.5,232.75,232.75,266209.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-11,230.5,243.0,230.5,234.25,234.25,209873.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-12,230.25,240.0,230.25,238.0,238.0,224174.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-13,231.5,240.0,227.9499969482422,235.0,235.0,439584.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-16,238.5,238.5,231.5,235.75,235.75,128084.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-17,230.5,249.0,230.5,244.0,244.0,413576.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-18,241.0,248.75,238.75,240.25,240.25,448588.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-19,237.75,249.0,237.75,249.0,249.0,537072.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-20,244.0,260.75,241.75,255.75,255.75,7149524.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-23,259.0,259.0,242.8999938964844,242.8999938964844,242.8999938964844,467150.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-24,244.6000061035156,245.3000030517578,228.0,234.6000061035156,234.6000061035156,535401.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-25,236.0,241.6000061035156,235.0,241.6000061035156,241.6000061035156,116921.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-26,241.3000030517578,251.0,238.27999877929688,247.0,247.0,183552.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-27,245.5,257.0,245.5,252.1999969482422,252.1999969482422,276082.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-06-30,254.6999969482422,256.39999389648443,252.0,255.0,255.0,219063.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-01,255.0,255.8999938964844,250.3000030517578,250.3000030517578,250.3000030517578,572313.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-02,250.0,254.8999938964844,250.0,254.5,254.5,143488.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-03,255.0,265.0,253.8999938964844,260.29998779296875,260.29998779296875,253992.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-04,262.0,264.20001220703125,258.60000610351557,264.20001220703125,264.20001220703125,79987.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-07,264.60000610351557,264.60000610351557,255.1999969482422,257.79998779296875,257.79998779296875,45218.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-08,255.1000061035156,257.0,237.3999938964844,239.6000061035156,239.6000061035156,211107.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-09,237.0,249.6999969482422,237.0,249.0,249.0,230252.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-10,245.0,245.5,236.1000061035156,240.0,240.0,227086.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-11,237.8999938964844,243.6999969482422,237.8000030517578,242.1999969482422,242.1999969482422,92317.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-14,242.0,242.0,219.6999969482422,223.0,223.0,455081.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-15,225.3000030517578,225.3000030517578,215.6999969482422,219.1999969482422,219.1999969482422,214889.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-16,217.1999969482422,220.5,214.6000061035156,214.6000061035156,214.6000061035156,231046.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-17,214.3999938964844,219.3999938964844,211.8999938964844,217.0,217.0,243192.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-18,214.0,217.1000061035156,212.6000061035156,214.3999938964844,214.3999938964844,89959.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-21,212.3000030517578,220.0,212.3000030517578,217.6999969482422,217.6999969482422,131145.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-22,219.8999938964844,222.0,216.6000061035156,217.0,217.0,174618.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-23,219.1000061035156,222.1000061035156,215.0,220.1999969482422,220.1999969482422,86409.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-24,218.0,218.83999633789062,215.0,216.6999969482422,216.6999969482422,84456.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-07-25,215.6999969482422,220.0,214.6999969482422,219.0,219.0,106168.0,1.0,0.0,0.0,0.0,0.0,,,,
