Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,1032.0,1032.0,1010.1300048828124,1011.2000122070312,792.8900756835938,1433577,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,1011.72998046875,1027.199951171875,1010.1300048828124,1022.9299926757812,802.0875854492188,917859,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,1023.469970703125,1033.0699462890623,1019.2000122070312,1025.5999755859377,804.1810913085938,1248150,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,1021.8699951171876,1044.800048828125,1021.8699951171876,1041.5999755859377,816.7268676757812,1597552,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,1044.800048828125,1048.0,1038.9300537109377,1043.72998046875,818.39697265625,1566367,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,1045.8699951171877,1051.72998046875,1038.9300537109377,1043.199951171875,817.9813232421875,1616886,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,1049.5999755859377,1056.0,1044.27001953125,1053.8699951171877,826.3477783203125,1236612,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,1056.0,1063.469970703125,1054.9300537109377,1061.8699951171877,832.62060546875,855999,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,1050.6700439453123,1060.27001953125,1046.4000244140623,1055.469970703125,827.6022338867188,1233263,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-15,1061.8699951171877,1077.3299560546877,1056.530029296875,1073.0699462890623,841.4027099609375,1771081,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-16,1070.9300537109377,1077.3299560546877,1062.4000244140623,1075.199951171875,843.0729370117188,1205153,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-17,1074.1300048828123,1105.0699462890623,1073.699951171875,1098.6700439453123,861.4759521484375,2953319,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-20,1097.5999755859377,1104.0,1089.0699462890623,1102.9300537109377,864.8162231445312,1219294,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-21,1104.0,1118.9300537109377,1104.0,1114.6700439453123,874.0216064453125,1941144,0.0,1.0,0.0,0.0,0.0,,,,
2014-01-22,1112.530029296875,1125.3299560546877,1106.1300048828123,1116.800048828125,875.6918334960938,2217663,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-23,1118.9300537109377,1125.3299560546877,1108.27001953125,1116.800048828125,875.6918334960938,2084643,1.0,2.0,1.0,0.0,1.0,,,,
2014-01-24,1115.72998046875,1122.1300048828123,1115.72998046875,1120.0,878.2008056640625,2660573,1.0,2.0,1.0,0.0,1.0,,,,
2014-01-27,1129.5999755859375,1141.3299560546875,1118.9300537109377,1125.3299560546877,882.380126953125,3121470,2.0,2.0,1.0,0.0,1.0,,,,
2014-01-28,1131.72998046875,1140.27001953125,1114.6700439453123,1121.0699462890623,879.0397338867188,2556302,2.0,2.0,1.0,0.0,1.0,,,,
2014-01-29,1126.4000244140625,1131.72998046875,1101.8699951171877,1104.0,865.6553344726562,2539299,2.0,2.0,1.0,0.0,1.0,,,,
2014-01-30,1102.9300537109377,1107.199951171875,1098.6700439453123,1104.0,865.6553344726562,1783294,2.0,2.0,1.0,0.0,1.0,,,,
2014-01-31,1101.8699951171877,1104.0,1085.8699951171877,1097.5999755859377,860.6369018554688,2493408,2.0,3.0,1.0,0.0,1.0,,,,
2014-02-03,1094.4000244140623,1101.8699951171877,1092.27001953125,1096.530029296875,859.7979125976562,1995728,2.0,3.0,1.0,0.0,1.0,,,,
2014-02-04,1091.199951171875,1094.4000244140623,1080.530029296875,1081.5999755859377,848.0911865234375,2794355,2.0,4.0,1.0,0.0,1.0,,,,
2014-02-05,1082.6700439453123,1093.3299560546877,1072.0,1086.9300537109377,852.2705078125,2397986,2.0,4.0,1.0,0.0,1.0,,,,
2014-02-06,1093.3299560546877,1096.530029296875,1083.72998046875,1091.199951171875,855.6185913085938,2622267,2.0,4.0,1.0,0.0,1.0,,,,
2014-02-07,1092.27001953125,1104.0,1090.1300048828123,1102.9300537109377,864.8162231445312,2139901,2.0,4.0,1.0,0.0,2.0,,,,
2014-02-10,1106.1300048828123,1120.5,1102.489990234375,1117.8699951171877,876.530517578125,1377208,2.0,4.0,1.0,0.0,2.0,,,,
2014-02-11,1120.0,1132.800048828125,1115.72998046875,1130.6700439453125,886.5673828125,1359750,2.0,4.0,1.0,0.0,2.0,,,,
2014-02-12,1131.72998046875,1133.780029296875,1110.4000244140623,1112.530029296875,872.3436889648438,2499398,2.0,4.0,1.0,0.0,2.0,,,,
2014-02-13,1112.530029296875,1117.8699951171877,1101.8699951171877,1117.8699951171877,876.530517578125,2200441,2.0,4.0,1.0,0.0,2.0,,,,
2014-02-14,1115.72998046875,1121.0699462890623,1110.4000244140623,1113.5999755859377,873.1826171875,1624248,3.0,4.0,1.0,0.0,2.0,,,,
2014-02-17,1116.800048828125,1138.3199462890625,1114.6700439453123,1134.9300537109375,889.9075317382812,1435575,3.0,4.0,2.0,0.0,2.0,,,,
2014-02-18,1140.27001953125,1153.0699462890625,1129.68994140625,1152.0,903.2925415039062,1654005,3.0,4.0,2.0,0.0,2.0,,,,
2014-02-19,1148.800048828125,1157.0699462890625,1142.4000244140625,1149.8699951171875,901.6220703125,1191946,3.0,4.0,2.0,0.0,2.0,,,,
2014-02-20,1142.4000244140625,1163.72998046875,1141.3299560546875,1163.72998046875,912.4898071289062,1190279,3.0,4.0,2.0,0.0,2.0,,,,
2014-02-21,1165.8699951171875,1176.530029296875,1153.0699462890625,1165.8699951171875,914.1677856445312,2836217,3.0,4.0,2.0,0.0,3.0,,,,
