Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,5485.0,5565.0,5455.0,5530.0,4652.8251953125,390136.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,5900.0,6143.02001953125,5885.0,6085.0,5119.7900390625,919347.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,6090.0,6170.0,6042.5,6170.0,5191.3076171875,504921.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-07,6250.0,6255.0,6080.0,6130.0,5157.65234375,440501.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-08,6125.0,6175.0,6110.0,6170.0,5191.3076171875,304255.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-09,6170.0,6195.2001953125,6011.43994140625,6050.0,5090.34228515625,449559.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-10,6060.0,6190.0,6060.0,6160.0,5182.89306640625,498983.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-13,6165.0,6205.0,6130.0,6195.0,5212.34228515625,240199.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-14,6165.0,6230.0,6125.0,6200.0,5216.548828125,300946.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-15,6160.0,6225.0,6120.0,6225.0,5237.58251953125,286931.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-16,6230.0,6260.0,6135.0,6165.0,5187.1005859375,324700.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-17,6170.0,6230.0,6125.0,6145.0,5170.2734375,376216.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-20,6155.0,6275.0,6150.0,6255.0,5262.82568359375,327097.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-21,6260.0,6365.0,6229.52978515625,6335.0,5330.13525390625,318076.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-22,6340.0,6409.5,6280.0,6365.0,5355.37646484375,339848.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-23,6355.0,6425.47998046875,6310.0,6350.0,5342.75634765625,353648.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-24,6365.0,6405.0,6265.0,6280.0,5283.85888671875,379165.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-27,6270.0,6317.47021484375,6152.16015625,6175.0,5195.5146484375,322132.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-28,6195.0,6245.0,6140.0,6170.0,5191.3076171875,348066.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-29,6255.0,6290.0,6145.0,6230.0,5241.79052734375,351936.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-30,6195.0,6240.0,6150.0,6240.0,5250.205078125,204903.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-01-31,6215.0,6252.75,6130.0,6250.0,5258.61767578125,450860.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-02-03,6240.0,6280.0,6177.3701171875,6190.0,5208.13525390625,529052.0,1.0,0.0,1.0,1.0,0.0,,,,
2014-02-04,6150.0,6211.39990234375,6090.0,6135.0,5161.859375,351157.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-05,6125.0,6210.0,6105.0,6145.0,5170.2734375,274040.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-06,6175.0,6330.0,6175.0,6295.0,5296.47998046875,341724.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-07,6325.0,6355.0,6290.0,6305.0,5304.8935546875,267339.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-10,6295.0,6330.0,6225.0,6235.0,5245.99658203125,338255.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-11,6300.0,6365.0,6250.0,6360.0,5351.16943359375,419657.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-12,6385.0,6445.0,6350.0,6430.0,5410.0654296875,303324.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-13,6445.0,6505.0,6350.0,6415.0,5397.44482421875,278298.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-14,6410.0,6425.0,6350.0,6395.0,5380.6181640625,195709.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-17,6390.0,6460.0,6390.0,6440.0,5418.47998046875,135875.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-18,6470.0,6530.0,6430.0,6515.0,5481.5830078125,269518.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-19,6505.0,6565.0,6465.0,6490.0,5460.54833984375,182941.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-20,6475.0,6545.0,6440.0,6540.0,5502.6181640625,240642.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-21,6590.0,6600.0,6490.0,6515.0,5481.5830078125,331063.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-24,6510.0,6600.0,6480.0,6580.0,5536.2724609375,297110.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-25,6580.0,6640.0,6560.0,6630.0,5578.341796875,459644.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-26,6635.0,6635.0,6572.5,6600.0,5553.10009765625,220187.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-27,6585.0,6650.0,6560.0,6645.0,5590.96240234375,275973.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-02-28,6645.0,6735.0,6615.0,6735.0,5666.68701171875,628393.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-03-03,6650.0,6665.0,6590.0,6650.0,5595.16943359375,284146.0,1.0,0.0,2.0,1.0,0.0,,,,
2014-03-04,6695.0,6760.0,6675.0,6725.0,5658.27294921875,290817.0,1.0,0.0,3.0,1.0,0.0,,,,
2014-03-05,6730.0,6760.0,6690.0,6710.0,5645.65185546875,237973.0,1.0,0.0,3.0,1.0,0.0,,,,
2014-03-06,6710.0,6735.0,6650.0,6685.0,5624.61767578125,250492.0,1.0,0.0,3.0,1.0,0.0,,,,
2014-03-07,6675.0,6700.0,6550.0,6550.0,5511.03173828125,362658.0,1.0,0.0,3.0,1.0,0.0,,,,
2014-03-10,6535.0,6669.75,6510.0,6595.0,5548.8935546875,274545.0,1.0,0.0,3.0,1.0,0.0,,,,
2014-03-11,6620.0,6745.0,6605.0,6745.0,5675.10107421875,367170.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-03-12,6725.0,6795.0,6655.0,6695.0,5633.0302734375,307230.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-03-13,6690.0,6715.0,6600.0,6605.0,5557.30712890625,278891.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-03-14,6570.0,6620.0,6550.0,6585.0,5540.47998046875,279586.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-03-17,6580.0,6735.0,6550.0,6715.0,5649.85888671875,270162.0,4.0,0.0,3.0,1.0,0.0,,,,
2014-03-18,6650.0,6680.0,6564.25,6565.0,5523.65185546875,643577.0,4.0,0.0,3.0,1.0,0.0,,,,
2014-03-19,6580.0,6620.2998046875,6510.0,6580.0,5536.2724609375,378805.0,4.0,0.0,3.0,1.0,0.0,,,,
2014-03-20,6655.0,6745.0,6621.97998046875,6730.0,5662.47998046875,443157.0,4.0,0.0,4.0,1.0,0.0,,,,
2014-03-21,6745.0,6779.81005859375,6692.5,6700.0,5637.23779296875,634726.0,6.0,0.0,6.0,1.0,0.0,,,,
2014-03-24,6680.0,6735.0,6675.0,6715.0,5649.85888671875,320855.0,6.0,0.0,6.0,1.0,0.0,,,,
2014-03-25,6750.0,6835.83984375,6725.0,6820.0,5738.203125,324684.0,6.0,0.0,6.0,1.0,0.0,,,,
