Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,1277.0,1277.6400146484375,1260.6700439453125,1266.0,1144.55908203125,1780412.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,1264.0,1275.0,1263.0,1271.0,1149.0792236328125,1380016.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,1272.0,1294.0,1269.0,1289.0,1165.3526611328125,2548073.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,1284.0,1292.5899658203125,1274.0,1289.0,1165.3526611328125,3126591.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,1289.0,1289.3599853515625,1271.0,1286.0,1162.6405029296875,2923387.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,1275.0,1287.3499755859375,1241.0,1248.0,1128.2855224609375,5938002.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,1248.0,1250.0,1237.0,1239.0,1120.1488037109377,4916049.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,1239.0,1248.0,1237.0,1245.0,1125.573486328125,3398433.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-14,1234.0,1242.0,1233.0,1241.0,1121.9569091796877,3957173.0,1.0,1.0,0.0,0.0,0.0,,,,
2014-01-15,1250.0,1256.0,1242.6400146484375,1246.0,1126.477294921875,2800277.0,1.0,2.0,0.0,0.0,0.0,,,,
2014-01-16,1245.0,1254.0,1242.0,1247.0,1127.3814697265625,3278252.0,1.0,2.0,0.0,0.0,0.0,,,,
2014-01-17,1250.0,1255.1500244140625,1245.0,1250.0,1130.09375,4548198.0,1.0,2.0,0.0,0.0,0.0,,,,
2014-01-20,1251.0,1252.0,1244.31005859375,1249.0,1129.189697265625,1730481.0,1.0,2.0,0.0,0.0,0.0,,,,
2014-01-21,1240.0,1255.780029296875,1236.0,1246.0,1126.477294921875,2962071.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-22,1250.0,1256.0,1233.0,1234.0,1115.628662109375,3070242.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-23,1236.0,1237.0,1203.0,1204.0,1088.50634765625,6546591.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-24,1207.0,1219.0,1163.0,1172.0,1059.575927734375,8979237.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-27,1172.0,1188.0,1160.0,1184.0,1070.4246826171877,4465056.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-28,1190.0,1218.0,1188.0,1209.0,1093.0264892578123,5897934.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-29,1215.0,1216.0,1183.0,1193.0,1078.5615234375,4963045.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-30,1191.0,1191.0,1172.0,1174.0,1061.384033203125,4498069.0,1.0,2.0,0.0,0.0,1.0,,,,
2014-01-31,1174.0,1191.0,1159.0,1187.0,1073.13720703125,4253350.0,3.0,2.0,0.0,0.0,1.0,,,,
2014-02-03,1185.0,1200.0,1161.0,1165.0,1053.2474365234377,5082078.0,3.0,2.0,0.0,0.0,1.0,,,,
2014-02-04,1164.0,1169.0,1147.6400146484375,1160.0,1048.7269287109377,4760097.0,3.0,2.0,0.0,0.0,1.0,,,,
2014-02-05,1159.0,1177.0,1154.0,1165.0,1053.2474365234377,3656741.0,3.0,3.0,0.0,0.0,1.0,,,,
2014-02-06,1171.0,1185.260009765625,1164.0,1180.0,1066.808349609375,3494639.0,3.0,3.0,0.0,0.0,1.0,,,,
2014-02-07,1184.0,1201.0,1174.0,1177.0,1064.0963134765623,5217661.0,3.0,3.0,0.0,0.0,1.0,,,,
2014-02-10,1175.0,1192.0,1175.0,1189.0,1074.9451904296877,3543330.0,3.0,3.0,0.0,0.0,1.0,,,,
2014-02-11,1199.0,1213.5,1195.0,1205.0,1089.4105224609377,5266848.0,4.0,3.0,1.0,0.0,1.0,,,,
2014-02-12,1211.0,1219.0,1201.0,1210.0,1093.9307861328123,4289540.0,4.0,3.0,1.0,0.0,1.0,,,,
2014-02-13,1104.0,1110.3199462890623,994.375,1045.0,944.7583618164062,29122329.0,4.0,3.0,1.0,0.0,1.0,,,,
2014-02-14,1050.0,1060.0,1017.0,1025.0,926.6767578125,14865170.0,5.0,3.0,2.0,0.0,1.0,,,,
2014-02-17,1023.0,1037.0,1001.0,1006.0,909.4993896484376,8148268.0,5.0,3.0,2.0,0.0,1.0,,,,
2014-02-18,1000.0,1005.8099975585938,976.0,976.5,882.8292236328125,11944416.0,5.0,3.0,3.0,0.0,1.0,,,,
2014-02-19,980.0,1002.0,978.0,1000.0,904.0750122070312,9118832.0,5.0,3.0,3.0,0.0,1.0,,,,
2014-02-20,991.5,1015.02001953125,991.0,1010.0,913.11572265625,6644960.0,5.0,3.0,3.0,0.0,1.0,,,,
2014-02-21,1020.0,1025.1400146484377,993.5,995.0,899.554443359375,7264856.0,5.0,3.0,3.0,0.0,1.0,,,,
