Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,857.0,865.5,855.5,856.5,744.9508666992188,1637248.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,855.0,862.0,853.5999755859375,859.0,747.1251831054688,1322131.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,857.0,869.5,857.0,867.5,754.5181884765625,1216029.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-07,865.0,869.0,859.8610229492188,865.0,752.3438720703125,1268441.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-08,868.5,878.0,864.5,868.5,755.3878784179688,1871733.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-09,870.0,882.5,866.5,870.5,757.1275634765625,1922246.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-10,876.5,884.0,875.0,880.5,765.8251953125,2047783.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-13,880.5,881.5,873.5,874.5,760.6066284179688,1335077.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-14,871.0,872.0,863.5999755859375,867.0,754.0833129882812,2269641.0,1.0,0.0,0.0,0.0,0.0,,,,
2014-01-15,868.5,873.5,867.0,871.5,757.997314453125,2778052.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-16,874.0,879.5,870.5,874.0,760.1717529296875,2962476.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-17,876.5,881.0,874.0,878.5,764.0856323242188,2507621.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-20,877.0,880.0,875.5,879.5,764.955322265625,1202643.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-21,883.0,888.0,868.0,881.5,766.6948852539062,3026573.0,1.0,0.0,1.0,0.0,0.0,,,,
2014-01-22,882.5,888.0,878.5,886.5,771.0436401367188,1877384.0,1.0,0.0,1.0,0.0,1.0,,,,
2014-01-23,887.0,897.0,887.0,896.0,779.3063354492188,3807517.0,1.0,0.0,2.0,0.0,1.0,,,,
2014-01-24,893.0,897.0,879.0,883.0,767.99951171875,2125208.0,1.0,0.0,3.0,0.0,1.0,,,,
2014-01-27,892.0,896.5,878.5,885.0,769.7391357421875,3076700.0,2.0,0.0,3.0,0.0,1.0,,,,
2014-01-28,888.5,889.5,881.5,887.0,771.4786987304688,2486949.0,2.0,0.0,3.0,0.0,1.0,,,,
2014-01-29,890.0,892.0,866.0,873.5,759.73681640625,3045639.0,2.0,0.0,3.0,0.0,1.0,,,,
2014-01-30,875.5,886.0,870.0,885.0,769.7391357421875,2585027.0,2.0,0.0,3.0,0.0,1.0,,,,
2014-01-31,886.5,886.5,866.5,876.0,761.9113159179688,1855824.0,2.0,0.0,3.0,0.0,1.0,,,,
2014-02-03,890.0,892.5,883.5,886.0,770.60888671875,4167725.0,2.0,1.0,5.0,0.0,1.0,,,,
2014-02-04,886.0,886.0,873.0,874.0,760.1717529296875,2063395.0,3.0,2.0,5.0,0.0,3.0,,,,
2014-02-05,873.0,876.5,871.5,874.5,760.6066284179688,2261282.0,3.0,2.0,6.0,0.0,3.0,,,,
2014-02-06,896.0,898.5,883.0,896.0,779.3063354492188,4349291.0,3.0,2.0,6.0,0.0,3.0,,,,
2014-02-07,900.0,915.0,893.0,915.0,795.83203125,2958857.0,3.0,2.0,7.0,0.0,3.0,,,,
2014-02-10,917.5,920.0,912.0,917.0,797.5714111328125,2169117.0,3.0,2.0,7.0,0.0,4.0,,,,
2014-02-11,918.0,928.5,916.5,928.5,807.5736694335938,2603391.0,3.0,2.0,7.0,0.0,4.0,,,,
2014-02-12,942.5,943.5,926.5,930.5,809.3131103515625,3099291.0,3.0,2.0,7.0,0.0,4.0,,,,
2014-02-13,932.0,936.5,928.0,933.5,811.9224853515625,2584100.0,3.0,2.0,7.0,0.0,4.0,,,,
2014-02-14,931.0,944.0,930.5,941.0,818.4457397460938,2225059.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-17,941.0,949.0,941.0,949.0,825.4038696289062,1759016.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-18,947.5,951.2319946289062,945.5,947.5,824.0991821289062,1763386.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-19,948.5,955.5,946.5,953.0,828.8829345703125,1420085.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-20,949.0,958.5,946.1500244140624,958.5,833.66650390625,1863946.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-21,959.5,964.0,949.0,951.0,827.1433715820312,2892941.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-24,950.0,960.5,948.5,960.0,834.97119140625,2207602.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-25,960.0,962.5,950.5,959.5,834.536376953125,2618209.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-26,960.5,960.5,951.0,952.5,828.4478759765625,1510029.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-27,950.0,953.0180053710938,939.5,950.0,826.2735595703125,2230230.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-02-28,949.0,954.5,946.0,951.5,827.5782470703125,2100563.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-03,940.5,940.5,926.0,934.5,812.7923583984375,2340686.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-04,936.0,948.0,936.0,947.0,823.6642456054688,1968468.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-05,947.5,947.5,936.5,937.5,815.4014892578125,2520756.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-06,937.0,948.0,937.0,943.5,820.6201171875,1646224.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-07,942.5,942.5,924.5,924.5,804.0946044921875,1988798.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-10,918.5,930.0,918.5,923.0,802.7899780273438,2135686.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-11,924.5,932.0,916.5999755859376,930.5,809.3131103515625,1715580.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-12,924.5,928.0,909.5,917.0,797.5714111328125,2641452.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-13,918.5,932.5,916.5,923.5,803.2249755859375,2517415.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-14,917.5,931.5,915.0,929.0,808.0086669921875,2647602.0,3.0,2.0,8.0,0.0,4.0,,,,
2014-03-17,930.0,934.0,926.0,928.5,807.5736694335938,1927899.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-18,925.0,939.5,923.0,939.5,817.14111328125,2197381.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-19,939.0,942.0,934.0,935.0,813.2271728515625,1723465.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-20,931.0,933.0,922.5,925.5,804.9644775390625,2146978.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-21,928.0,930.2160034179688,920.5,922.0,801.9202270507812,2771818.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-24,920.5,923.0,911.0,911.0,792.3528442382812,1569854.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-25,911.0,925.0,908.2000122070312,919.5,799.745849609375,1478985.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-26,919.5,926.0,911.0,912.0,793.22265625,2512637.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-27,911.0,913.0,899.5,900.0,782.7855834960938,2361241.0,4.0,2.0,8.0,0.0,4.0,,,,
2014-03-28,917.0,928.0,912.1649780273438,921.5,801.4853515625,2536608.0,6.0,2.0,8.0,0.0,4.0,,,,
2014-03-31,922.5,926.5,906.0,909.0,790.6134643554688,3341649.0,6.0,2.0,8.0,0.0,4.0,,,,
2014-04-01,910.5,923.5,909.2160034179688,919.5,799.745849609375,2368417.0,6.0,2.0,8.0,0.0,4.0,,,,
2014-04-02,918.0,924.0,910.0,911.5,792.7877807617188,2238240.0,6.0,2.0,8.0,0.0,4.0,,,,
2014-04-03,912.0,917.5,908.5,910.5,791.91796875,1626046.0,6.0,2.0,9.0,0.0,4.0,,,,
2014-04-04,912.0,920.5,903.5,920.0,800.1806640625,2597906.0,7.0,2.0,10.0,0.0,4.0,,,,
2014-04-07,912.5,914.5,903.5,910.5,791.91796875,2423252.0,7.0,2.0,10.0,0.0,4.0,,,,
2014-04-08,908.0,909.489990234375,896.0,899.5,782.3505859375,2667577.0,7.0,2.0,10.0,0.0,4.0,,,,
2014-04-09,895.5,908.9500122070312,895.5,901.0,783.6552124023438,2232024.0,7.0,2.0,10.0,0.0,4.0,,,,
2014-04-10,902.0,910.0,897.5,901.5,784.0901489257812,1699727.0,7.0,2.0,10.0,0.0,4.0,,,,
2014-04-11,896.0,896.0,877.5,884.0,768.8693237304688,2450893.0,7.0,2.0,10.0,0.0,4.0,,,,
2014-04-14,881.5,882.5,872.0,874.5,760.6066284179688,1842841.0,8.0,2.0,10.0,0.0,4.0,,,,
2014-04-15,877.5,883.5,869.0,871.5,757.997314453125,2163166.0,8.0,2.0,10.0,0.0,4.0,,,,
2014-04-16,869.0,872.5,858.5,860.5,757.214111328125,2319434.0,8.0,2.0,11.0,0.0,4.0,,,,
2014-04-17,866.0,872.0999755859375,862.5,866.0,762.0538940429688,1793652.0,8.0,2.0,11.0,0.0,4.0,,,,
2014-04-22,877.0,884.0,871.0,875.5,770.4136352539062,2751756.0,8.0,2.0,11.0,0.0,4.0,,,,
2014-04-23,876.5,880.68798828125,872.5999755859375,879.5,773.9335327148438,2423552.0,8.0,2.0,11.0,0.0,4.0,,,,
2014-04-24,881.0,918.0,879.5,909.0,799.8927612304688,10087368.0,8.0,2.0,11.0,0.0,4.0,,,,
2014-04-25,905.5,919.0,898.0,915.0,805.1724853515625,4412458.0,9.0,2.0,13.0,0.0,4.0,,,,
2014-04-28,919.5,931.0,919.0,924.5,813.5321044921875,3927955.0,9.0,2.0,13.0,0.0,4.0,,,,
2014-04-29,927.5,938.0,927.5,933.0,821.0119018554688,3191634.0,9.0,2.0,13.0,0.0,4.0,,,,
2014-04-30,929.0,935.5,912.5,919.5,809.1322631835938,2801067.0,9.0,2.0,13.0,0.0,4.0,,,,
2014-05-01,918.0,924.0,905.0,905.0,796.3726196289062,2026517.0,9.0,2.0,15.0,0.0,4.0,,,,
2014-05-02,904.0,919.0,903.5,917.5,807.3724365234375,2284065.0,9.0,2.0,15.0,0.0,4.0,,,,
2014-05-06,916.0,919.5,909.3599853515624,913.5,803.8525390625,3814211.0,9.0,2.0,15.0,0.0,4.0,,,,
2014-05-07,915.0,918.6400146484376,911.0,917.0,806.9324340820312,1628683.0,9.0,2.0,15.0,0.0,4.0,,,,
2014-05-08,916.0,923.0,913.5,918.5,808.2523803710938,1612744.0,9.0,2.0,15.0,0.0,4.0,,,,
2014-05-09,917.5,917.5,908.5,911.0,801.6526489257812,1859841.0,9.0,2.0,15.0,0.0,4.0,,,,
2014-05-12,913.0,926.5,909.0,926.5,815.2921752929688,2057776.0,9.0,2.0,15.0,0.0,4.0,,,,
2014-05-13,930.0,934.0,921.0,928.5,817.0520629882812,2483620.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-14,930.5,934.0,920.5,924.0,813.0921630859375,1342452.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-15,926.0,930.5,915.5,920.0,809.5722045898438,1137210.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-16,921.5,927.5,915.0,927.5,816.172119140625,2529939.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-19,929.0,931.5,916.5,918.5,808.2523803710938,1944144.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-20,920.5,926.5,914.5,920.0,809.5722045898438,2367480.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-21,922.0,936.0,920.5,936.0,823.6517944335938,3045433.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-22,937.0,958.0,934.5,956.0,841.251220703125,3095406.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-23,956.0,959.0,938.0,948.0,834.2114868164062,1747282.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-27,950.5,962.5,949.0,953.0,838.611328125,2034936.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-28,952.5,1120.0,949.0,993.5,874.2501220703125,14228388.0,9.0,2.0,16.0,0.0,4.0,,,,
2014-05-29,1001.0,1040.0,1001.0,1029.0,905.489013671875,4547182.0,10.0,2.0,16.0,0.0,4.0,,,,
2014-05-30,1035.0,1062.0,1032.0,1046.0,920.4485473632812,5120686.0,11.0,2.0,16.0,0.0,4.0,,,,
2014-06-02,1046.0,1047.9200439453123,1023.6599731445312,1027.0,903.7290649414062,2418125.0,11.0,2.0,17.0,0.0,4.0,,,,
2014-06-03,1030.0,1032.0,1020.0,1030.0,906.3690795898438,2137636.0,11.0,2.0,17.0,0.0,4.0,,,,
2014-06-04,1028.0,1066.0,1028.0,1064.0,936.2879028320312,5079043.0,11.0,2.0,19.0,0.0,4.0,,,,
2014-06-05,1130.0,1136.0,1085.0,1088.0,957.4071655273438,13897570.0,11.0,3.0,20.0,0.0,4.0,,,,
2014-06-06,1084.0,1084.6400146484377,1062.0,1066.0,938.0478515625,4076587.0,12.0,3.0,20.0,0.0,4.0,,,,
2014-06-09,1063.0,1080.0,1060.0,1075.0,945.9676513671876,1391510.0,12.0,3.0,20.0,0.0,4.0,,,,
2014-06-10,1072.0,1101.1099853515623,1072.0,1100.0,967.966796875,2354398.0,12.0,3.0,19.0,0.0,4.0,,,,
2014-06-11,1100.0,1102.0,1088.0,1094.0,962.6871337890624,2755787.0,13.0,3.0,19.0,0.0,4.0,,,,
2014-06-12,1092.0,1094.0,1084.0,1088.0,957.4071655273438,3895390.0,13.0,3.0,19.0,0.0,4.0,,,,
2014-06-13,1084.0,1084.0,1068.0,1071.0,942.44775390625,2571537.0,13.0,3.0,19.0,0.0,4.0,,,,
2014-06-16,1040.0,1081.0,1035.0,1070.0,941.5676879882812,4884149.0,13.0,3.0,19.0,0.0,4.0,,,,
2014-06-17,1070.0,1079.0,1062.719970703125,1071.0,942.44775390625,1874033.0,13.0,3.0,19.0,0.0,3.0,,,,
2014-06-18,1070.0,1071.0,1051.0,1053.0,926.6083374023438,3223562.0,13.0,3.0,18.0,0.0,3.0,,,,
2014-06-19,1062.0,1074.0,1057.239990234375,1065.0,937.1677856445312,2490100.0,13.0,3.0,17.0,0.0,3.0,,,,
2014-06-20,1070.0,1093.0,1065.030029296875,1079.0,949.4876098632812,3420680.0,12.0,3.0,17.0,0.0,3.0,,,,
2014-06-23,1075.0,1080.0,1039.0,1059.0,931.8881225585938,2533752.0,12.0,3.0,17.0,0.0,3.0,,,,
2014-06-24,1063.0,1063.780029296875,1039.3599853515623,1045.0,919.568603515625,2178090.0,12.0,3.0,17.0,0.0,3.0,,,,
2014-06-25,1040.0,1043.0,1026.0,1031.0,907.2489013671876,3102332.0,12.0,4.0,17.0,0.0,3.0,,,,
2014-06-26,1030.0,1046.0,1025.0,1027.0,903.7290649414062,1449928.0,12.0,4.0,17.0,0.0,3.0,,,,
2014-06-27,1026.0,1039.0,1026.0,1035.0,910.7688598632812,1588886.0,12.0,3.0,15.0,0.0,3.0,,,,
2014-06-30,1034.0,1043.0,1027.219970703125,1039.0,914.288818359375,1926457.0,11.0,2.0,15.0,0.0,1.0,,,,
2014-07-01,1037.0,1048.0,1036.0,1044.0,918.6886596679688,1437423.0,11.0,2.0,14.0,0.0,1.0,,,,
2014-07-02,1047.0,1048.0,1035.0,1039.0,914.288818359375,1306952.0,11.0,2.0,14.0,0.0,1.0,,,,
2014-07-03,1039.0,1043.0,1036.0,1038.0,913.4087524414062,1197749.0,11.0,2.0,13.0,0.0,1.0,,,,
2014-07-04,1041.0,1042.0,1034.0,1035.0,910.7688598632812,691721.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-07,1034.0,1041.0,1029.219970703125,1033.0,909.0089111328124,1300629.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-08,1036.0,1036.0,1017.0,1018.0,895.809326171875,1867296.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-09,1020.0,1025.0,1010.0,1023.0,900.209228515625,1735410.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-10,1022.0,1022.9400024414062,1013.0,1017.0,894.9293823242188,1452450.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-11,1016.0,1025.0,1014.0,1020.0,897.5693359375,1650608.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-14,1026.0,1030.0,1016.0,1018.0,895.809326171875,1643870.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-15,1015.0,1026.0,1012.0,1021.0,898.4493408203125,1951698.0,11.0,2.0,13.0,0.0,0.0,,,,
2014-07-16,1020.0,1041.0,1020.0,1030.0,906.3690795898438,2093892.0,12.0,2.0,13.0,0.0,0.0,,,,
2014-07-17,1027.0,1032.0,1018.0,1029.0,905.489013671875,1561340.0,12.0,2.0,14.0,0.0,0.0,,,,
2014-07-18,1027.0,1046.0,1017.0,1045.0,919.568603515625,2543969.0,12.0,3.0,15.0,0.0,0.0,,,,
2014-07-21,1043.0,1047.0,1034.0,1035.0,910.7688598632812,1011179.0,12.0,3.0,15.0,0.0,0.0,,,,
2014-07-22,1037.0,1055.0,1036.0,1048.0,922.20849609375,1408563.0,12.0,3.0,15.0,0.0,0.0,,,,
