Date,Open,High,Low,Close,Adj Close,Volume,Buy1,Outperform1,Hold1,Underperform1,Sell1,Bert,neg,neu,pos
2014-01-02,335.54998779296875,338.1000061035156,328.25,334.3500061035156,305.3798522949219,7233529.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-03,331.45001220703125,332.8869934082031,328.8999938964844,330.5,301.8633728027344,13053502.0,0.0,0.0,0.0,0.0,0.0,,,,
2014-01-06,332.0,333.79998779296875,330.1499938964844,332.20001220703125,303.4161376953125,13900459.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-07,333.29998779296875,334.95001220703125,330.3500061035156,331.75,303.0050964355469,17197600.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-08,335.0,337.95001220703125,324.5,328.29998779296875,299.8540344238281,35238154.0,0.0,0.0,1.0,0.0,0.0,,,,
2014-01-09,323.0,329.47198486328125,315.29998779296875,324.3500061035156,296.24627685546875,32859256.0,1.0,0.0,2.0,0.0,0.0,,,,
2014-01-10,324.1499938964844,324.94000244140625,319.3500061035156,321.79998779296875,293.917236328125,26271403.0,2.0,0.0,2.0,0.0,0.0,,,,
2014-01-13,322.04998779296875,327.8500061035156,321.95001220703125,326.54998779296875,298.25567626953125,16135418.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-01-14,324.95001220703125,331.6000061035156,323.1369934082031,331.20001220703125,302.50274658203125,17614111.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-01-15,333.0,333.29998779296875,328.5,332.25,303.4618225097656,17435940.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-01-16,333.29998779296875,334.3999938964844,329.5,333.29998779296875,304.4208068847656,14488336.0,2.0,0.0,3.0,1.0,0.0,,,,
2014-01-17,334.8500061035156,338.1000061035156,331.1000061035156,331.1000061035156,302.41143798828125,24205202.0,2.0,0.0,3.0,1.0,1.0,,,,
2014-01-20,331.75,333.29998779296875,328.3500061035156,329.6000061035156,301.0414733886719,10777527.0,2.0,0.0,3.0,1.0,1.0,,,,
2014-01-21,330.0,332.5,328.29998779296875,329.6000061035156,301.0414733886719,14246500.0,2.0,0.0,3.0,1.0,1.0,,,,
2014-01-22,331.04998779296875,333.54998779296875,329.25,330.0,301.4067687988281,13897623.0,2.0,0.0,3.0,1.0,1.0,,,,
2014-01-23,330.6499938964844,333.5,326.1499938964844,326.3999938964844,298.11871337890625,14041684.0,2.0,0.0,3.0,1.0,1.0,,,,
2014-01-24,327.0,327.95001220703125,322.94000244140625,326.6499938964844,298.34698486328125,16275208.0,2.0,0.0,3.0,1.0,1.0,,,,
2014-01-27,327.20001220703125,331.6080017089844,322.92498779296875,324.6000061035156,296.4746398925781,17337035.0,2.0,1.0,4.0,1.0,1.0,,,,
2014-01-28,325.1000061035156,328.0,320.25,320.25,292.5015869140625,15300420.0,2.0,1.0,4.0,1.0,1.0,,,,
2014-01-29,322.1499938964844,324.20001220703125,319.3500061035156,321.1499938964844,293.3235168457031,20125659.0,2.0,1.0,4.0,1.0,1.0,,,,
2014-01-30,321.3500061035156,324.95001220703125,319.54998779296875,323.29998779296875,295.28729248046875,13773082.0,2.0,1.0,4.0,1.0,1.0,,,,
2014-01-31,322.6499938964844,324.29998779296875,317.8500061035156,320.3500061035156,292.5928955078125,16322182.0,2.0,1.0,4.0,1.0,1.0,,,,
2014-02-03,319.75,322.29998779296875,318.8999938964844,318.95001220703125,291.3142395019531,13861703.0,2.0,1.0,4.0,1.0,1.0,,,,
2014-02-04,318.45001220703125,319.635009765625,313.6499938964844,314.0,286.7930908203125,17024585.0,2.0,2.0,4.0,1.0,1.0,,,,
2014-02-05,314.1000061035156,316.29998779296875,313.1499938964844,315.04998779296875,287.7521057128906,13593087.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-06,317.04998779296875,325.04998779296875,315.45001220703125,323.3999938964844,295.37860107421875,19803641.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-07,323.95001220703125,324.0,319.6499938964844,320.8999938964844,293.09521484375,12742140.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-10,322.54998779296875,324.45001220703125,320.81500244140625,323.70001220703125,295.652587890625,10050124.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-11,324.75,326.3340148925781,316.3999938964844,318.70001220703125,291.0858459472656,30617248.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-12,321.29998779296875,327.30999755859375,320.75,323.3500061035156,295.3329162597656,22481983.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-13,324.1000061035156,324.8500061035156,322.0,324.8500061035156,296.7030029296875,14319736.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-14,326.0,326.0,322.70001220703125,324.6499938964844,296.52032470703125,10486084.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-17,325.0,327.95001220703125,324.375,327.3999938964844,299.03204345703125,10422521.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-18,328.54998779296875,330.29998779296875,326.0,329.70001220703125,301.13275146484375,15123413.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-19,330.0,341.57598876953125,329.95001220703125,335.75,306.6585693359375,25919127.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-20,334.1000061035156,337.20001220703125,331.697998046875,334.5,305.5168762207031,17552183.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-21,334.0,335.5790100097656,332.3500061035156,335.1499938964844,306.11053466796875,17015067.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-24,334.8500061035156,338.20001220703125,332.70001220703125,333.3999938964844,304.5120849609375,20880603.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-25,333.0,337.0,328.29998779296875,335.20001220703125,306.15618896484375,38121193.0,2.0,3.0,4.0,1.0,1.0,,,,
2014-02-26,333.3500061035156,333.3999938964844,317.54998779296875,326.0,297.7532958984375,36667361.0,4.0,4.0,7.0,1.0,1.0,,,,
2014-02-27,328.0,331.25,327.3999938964844,331.25,302.5484619140625,23592497.0,4.0,4.0,7.0,1.0,1.0,,,,
2014-02-28,333.8500061035156,333.95001220703125,328.0,329.20001220703125,300.6760559082031,17831428.0,4.0,4.0,7.0,1.0,1.0,,,,
2014-03-03,325.04998779296875,326.8999938964844,320.9219970703125,322.6499938964844,294.6935729980469,12696314.0,4.0,4.0,7.0,1.0,1.0,,,,
2014-03-04,327.6000061035156,329.20001220703125,322.25,327.8999938964844,299.4886779785156,16020778.0,4.0,4.0,7.0,1.0,2.0,,,,
2014-03-05,329.54998779296875,331.25,326.04998779296875,327.5,299.12335205078125,15643912.0,4.0,4.0,7.0,1.0,2.0,,,,
2014-03-06,328.04998779296875,328.45001220703125,323.8760070800781,324.20001220703125,296.1092834472656,15472163.0,5.0,4.0,7.0,1.0,2.0,,,,
2014-03-07,325.04998779296875,330.0,321.1499938964844,322.75,294.7849426269531,17758571.0,5.0,4.0,7.0,1.0,2.0,,,,
2014-03-10,321.29998779296875,322.75,319.25,320.25,292.5015869140625,16680309.0,5.0,4.0,7.0,1.0,2.0,,,,
2014-03-11,322.0,322.20001220703125,314.25,314.6499938964844,287.3867492675781,31411495.0,5.0,4.0,8.0,1.0,2.0,,,,
2014-03-12,316.29998779296875,316.54998779296875,312.29998779296875,314.3999938964844,287.1584777832031,15712097.0,5.0,4.0,8.0,1.0,2.0,,,,
2014-03-13,305.0,307.8489990234375,298.75,298.75,272.86444091796875,60378903.0,5.0,4.0,8.0,1.0,2.0,,,,
2014-03-14,298.1000061035156,305.3500061035156,295.5,303.70001220703125,277.38552856445307,29515508.0,5.0,4.0,9.0,1.0,2.0,,,,
2014-03-17,302.1499938964844,302.3999938964844,297.54998779296875,299.70001220703125,273.73214721679693,30719422.0,5.0,4.0,9.0,1.0,2.0,,,,
2014-03-18,298.6000061035156,304.3999938964844,298.29998779296875,300.25,274.2344970703125,25514715.0,5.0,4.0,9.0,1.0,2.0,,,,
2014-03-19,299.45001220703125,302.20001220703125,294.25,294.6000061035156,269.07403564453125,30891319.0,5.0,4.0,9.0,1.0,2.0,,,,
2014-03-20,292.29998779296875,295.5,288.11700439453125,292.5,267.15597534179693,24065330.0,5.0,4.0,9.0,1.0,2.0,,,,
2014-03-21,292.5,294.3500061035156,289.25,290.8999938964844,265.69461059570307,78318900.0,5.0,4.0,9.0,1.0,3.0,,,,
2014-03-24,291.70001220703125,295.25,291.3580017089844,293.3500061035156,267.93231201171875,40970574.0,5.0,4.0,9.0,1.0,3.0,,,,
2014-03-25,293.6499938964844,296.2929992675781,291.70001220703125,293.70001220703125,268.25201416015625,26760894.0,5.0,4.0,9.0,1.0,3.0,,,,
2014-03-26,295.3999938964844,298.3500061035156,293.8999938964844,294.3500061035156,268.845703125,23528068.0,5.0,4.0,9.0,1.0,3.0,,,,
2014-03-27,294.3500061035156,294.8500061035156,291.8999938964844,293.3500061035156,267.93231201171875,48372347.0,5.0,4.0,9.0,1.0,3.0,,,,
2014-03-28,295.3999938964844,298.8500061035156,295.1440124511719,297.79998779296875,271.9967041015625,20253846.0,5.0,4.0,9.0,1.0,3.0,,,,
2014-03-31,299.20001220703125,300.29998779296875,294.95001220703125,295.3999938964844,269.80471801757807,18308279.0,5.0,4.0,9.0,1.0,4.0,,,,
2014-04-01,296.04998779296875,296.5379943847656,291.85699462890625,293.3999938964844,267.97799682617193,22471359.0,5.0,4.0,9.0,2.0,5.0,,,,
2014-04-02,294.20001220703125,294.3999938964844,292.0,292.6499938964844,267.29293823242193,19878234.0,5.0,4.0,9.0,3.0,5.0,,,,
2014-04-03,293.1499938964844,294.70001220703125,290.6910095214844,291.70001220703125,266.42529296875,15079524.0,5.0,4.0,9.0,3.0,5.0,,,,
2014-04-04,290.0,292.125,286.45001220703125,287.3999938964844,262.49789428710943,30500543.0,5.0,4.0,9.0,3.0,5.0,,,,
2014-04-07,285.54998779296875,289.8999938964844,283.0050048828125,283.29998779296875,258.75311279296875,22256349.0,5.0,4.0,9.0,3.0,5.0,,,,
2014-04-08,283.0,287.95001220703125,278.5,287.8500061035156,262.90890502929693,46466951.0,5.0,4.0,9.0,3.0,5.0,,,,
2014-04-09,289.0,289.75,284.0,284.20001220703125,259.57516479492193,26696279.0,6.0,4.0,9.0,4.0,6.0,,,,
2014-04-10,285.8500061035156,286.1499938964844,283.0539855957031,284.04998779296875,259.4381103515625,18364991.0,6.0,4.0,9.0,4.0,6.0,,,,
2014-04-11,282.70001220703125,284.5,280.62899780273443,281.04998779296875,256.69802856445307,17573959.0,6.0,4.0,9.0,4.0,6.0,,,,
2014-04-14,280.0,289.3500061035156,279.60000610351557,289.3500061035156,264.2789306640625,27798037.0,6.0,4.0,9.0,4.0,6.0,,,,
2014-04-15,289.3500061035156,291.8999938964844,285.8999938964844,286.29998779296875,261.49325561523443,22117603.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-16,300.0,302.0,290.6000061035156,293.79998779296875,268.34332275390625,36824241.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-17,295.0,295.45001220703125,286.20001220703125,289.70001220703125,264.59860229492193,29758412.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-22,288.45001220703125,294.1499938964844,288.45001220703125,292.3999938964844,267.06463623046875,41758931.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-23,291.79998779296875,298.27899169921875,291.75,297.3500061035156,271.58578491210943,24092193.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-24,299.25,300.3999938964844,297.5,300.3999938964844,274.3714599609375,17332416.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-25,300.1000061035156,300.6000061035156,297.9519958496094,299.3999938964844,273.45809936523443,11659678.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-28,299.04998779296875,305.1499938964844,298.95001220703125,302.3500061035156,276.15252685546875,22432986.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-29,301.20001220703125,306.3999938964844,301.20001220703125,303.29998779296875,277.02017211914057,27190478.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-04-30,292.6000061035156,302.3299865722656,291.1000061035156,292.95001220703125,276.81234741210943,19332643.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-05-01,291.20001220703125,296.9800109863281,284.3999938964844,286.54998779296875,270.76486206054693,25705675.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-05-02,285.20001220703125,295.3299865722656,283.8999938964844,285.5,269.772705078125,17909987.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-05-06,286.0,288.281005859375,285.125,287.79998779296875,271.94598388671875,19628316.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-05-07,288.20001220703125,289.45001220703125,283.79998779296875,286.04998779296875,270.2924194335937,23354188.0,7.0,4.0,9.0,4.0,6.0,,,,
2014-05-08,286.54998779296875,295.3999938964844,283.70001220703125,295.0,278.7493896484375,25924620.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-09,295.5,298.04998779296875,293.0249938964844,296.8500061035156,280.4974975585937,16733641.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-12,297.3500061035156,298.0220031738281,292.6499938964844,293.95001220703125,277.7572021484375,14272997.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-13,294.8500061035156,296.5,294.0,295.75,279.45806884765625,12401409.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-14,296.70001220703125,297.5,293.4949951171875,296.29998779296875,279.977783203125,11415745.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-15,296.6000061035156,303.29998779296875,295.5,302.54998779296875,285.88348388671875,25236560.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-16,302.6000061035156,311.1000061035156,301.54998779296875,310.45001220703125,293.3482971191406,27088182.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-19,311.3999938964844,320.75,302.6000061035156,312.0,294.81292724609375,19712907.0,8.0,4.0,9.0,5.0,6.0,,,,
2014-05-20,310.0,310.0,304.45001220703125,306.04998779296875,289.19073486328125,19561557.0,8.0,4.0,10.0,5.0,6.0,,,,
2014-05-21,306.29998779296875,310.0,300.8500061035156,303.79998779296875,287.06463623046875,17589916.0,8.0,4.0,10.0,5.0,6.0,,,,
2014-05-22,303.20001220703125,305.1499938964844,301.29998779296875,303.45001220703125,286.73394775390625,14433058.0,8.0,4.0,10.0,5.0,6.0,,,,
2014-05-23,303.0,306.0,301.75,304.1300048828125,287.37646484375,10837467.0,8.0,4.0,10.0,6.0,6.0,,,,
2014-05-27,306.3500061035156,306.5,301.6499938964844,302.79998779296875,286.1197204589844,10797243.0,9.0,4.0,10.0,6.0,7.0,,,,
2014-05-28,304.0,304.0,299.25,301.29998779296875,284.7023010253906,16347213.0,9.0,4.0,10.0,6.0,7.0,,,,
2014-05-29,301.04998779296875,307.04998779296875,301.04998779296875,305.0,288.19854736328125,13648323.0,9.0,4.0,11.0,6.0,8.0,,,,
2014-05-30,305.6000061035156,305.95001220703125,301.3500061035156,303.54998779296875,286.8283996582031,18741134.0,9.0,4.0,10.0,6.0,8.0,,,,
2014-06-02,302.45001220703125,303.3500061035156,297.75,300.54998779296875,283.99365234375,20730631.0,9.0,4.0,10.0,6.0,8.0,,,,
